orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {579=[8], 323=[2], 580=[8], 4=[12], 326=[4], 520=[6], 329=[6], 393=[11], 906=[11], 270=[4], 655=[8], 977=[10], 401=[7], 275=[11], 660=[15], 215=[10], 216=[10], 797=[12], 671=[2], 864=[13], 736=[13], 353=[10], 417=[7], 162=[8], 931=[2], 101=[11], 39=[6], 616=[7], 170=[8], 619=[11], 45=[12], 493=[2], 366=[8], 178=[7], 115=[7], 563=[2], 627=[11], 758=[7], 311=[2], 887=[2], 184=[12], 955=[15], 635=[6], 957=[15], 573=[15], 318=[7], 382=[6], 767=[6]} | {2=[[323, 671, 931, 493, 563, 311, 887]], 4=[[326, 270]], 6=[[520, 329, 39, 635, 382, 767]], 7=[[401, 417, 616, 178, 115, 758, 318]], 8=[[579, 580, 655, 162, 170, 366]], 10=[[977, 215, 216, 353]], 11=[[393, 906, 275, 101, 619, 627]], 12=[[4, 797, 45, 184]], 13=[[864, 736]], 15=[[660, 955, 957, 573]]} | 151.49 | 129.35
O42 | {321=[20], 833=[18], 706=[8], 834=[18], 962=[8], 835=[20], 6=[17], 711=[17], 903=[19], 135=[1], 585=[20], 649=[19], 332=[5], 525=[18], 272=[19], 146=[13], 792=[3], 93=[3], 285=[17], 605=[1], 992=[5], 289=[1], 98=[8], 293=[18], 41=[18], 426=[5], 427=[5], 555=[5], 238=[5], 878=[1], 175=[5], 304=[9], 560=[18], 434=[8], 498=[9], 244=[9], 884=[1], 885=[9], 54=[17], 761=[13], 505=[18], 250=[1], 828=[9], 892=[8], 125=[5], 61=[5], 447=[17]} | {17=[[6, 711, 285, 54, 447]], 1=[[135, 605, 289, 878, 884, 250]], 18=[[833, 834, 525, 293, 41, 560, 505]], 19=[[903, 649, 272]], 3=[[792, 93]], 20=[[321, 835, 585]], 5=[[332, 992, 426, 427, 555, 238, 175, 125, 61]], 8=[[706, 962, 98, 434, 892]], 9=[[304, 498, 244, 885, 828]], 13=[[146, 761]]} | 159.2 | 129.73
O41 | {257=[12], 132=[4], 265=[14], 266=[4], 404=[17], 660=[15], 916=[2], 790=[12], 281=[8], 154=[9], 284=[19], 287=[19], 416=[14], 549=[14], 38=[3], 680=[4], 809=[9], 43=[12], 173=[15], 301=[15], 816=[2], 825=[8], 63=[3], 66=[12], 579=[8], 964=[2], 712=[19], 589=[15], 207=[9], 337=[3], 210=[12], 980=[14], 596=[17], 853=[3], 472=[14], 731=[12], 859=[2], 739=[15], 870=[4], 743=[17], 617=[9], 748=[2], 749=[2], 622=[4], 629=[2], 887=[2], 634=[17], 380=[12], 766=[4]} | {17=[[404, 596, 743, 634]], 2=[[916, 816, 964, 859, 748, 749, 629, 887]], 19=[[284, 287, 712]], 3=[[38, 63, 337, 853]], 4=[[132, 266, 680, 870, 622, 766]], 8=[[281, 825, 579]], 9=[[154, 809, 207, 617]], 12=[[257, 790, 43, 66, 210, 731, 380]], 14=[[265, 416, 549, 980, 472]], 15=[[660, 173, 301, 589, 739]]} | 144.5 | 129.35
