orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {898=[8], 260=[15], 780=[20], 652=[15], 403=[12], 404=[8], 918=[12], 22=[9], 922=[18], 543=[13], 288=[20], 546=[6], 291=[15], 163=[20], 37=[20], 807=[14], 816=[16], 304=[9], 179=[20], 309=[9], 54=[9], 190=[13], 64=[6], 960=[15], 965=[9], 454=[8], 72=[13], 457=[8], 842=[8], 330=[9], 714=[20], 973=[20], 336=[18], 340=[16], 725=[18], 343=[13], 986=[12], 992=[9], 356=[12], 997=[16], 234=[18], 110=[20], 111=[20], 243=[16], 629=[14], 631=[20], 380=[20], 253=[12], 895=[9]} | {16=[[816, 340, 997, 243]], 18=[[922, 336, 725, 234]], 20=[[780, 288, 163, 37, 179, 714, 973, 110, 111, 631, 380]], 6=[[546, 64]], 8=[[898, 404, 454, 457, 842]], 9=[[22, 304, 309, 54, 965, 330, 992, 895]], 12=[[403, 918, 986, 356, 253]], 13=[[543, 190, 72, 343]], 14=[[807, 629]], 15=[[260, 652, 291, 960]]} | 144.33 | 129.53
O42 | {132=[19], 775=[16], 394=[19], 395=[10], 524=[9], 526=[8], 146=[13], 406=[8], 284=[10], 158=[19], 671=[19], 800=[9], 801=[9], 930=[19], 802=[18], 548=[5], 933=[6], 294=[13], 422=[10], 44=[10], 173=[17], 45=[9], 558=[17], 436=[6], 183=[10], 697=[19], 446=[18], 577=[5], 579=[16], 581=[6], 965=[9], 457=[8], 209=[17], 595=[17], 213=[5], 598=[18], 984=[9], 344=[13], 859=[6], 733=[6], 613=[5], 746=[17], 107=[10], 493=[6], 239=[17], 753=[10], 370=[8], 633=[10], 762=[10]} | {16=[[775, 579]], 17=[[173, 558, 209, 595, 746, 239]], 18=[[802, 446, 598]], 19=[[132, 394, 158, 671, 930, 697]], 5=[[548, 577, 213, 613]], 6=[[933, 436, 581, 859, 733, 493]], 8=[[526, 406, 457, 370]], 9=[[524, 800, 801, 45, 965, 984]], 10=[[395, 284, 422, 44, 183, 107, 753, 633, 762]], 13=[[146, 294, 344]]} | 148.79999999999998 | 127.9
O41 | {321=[14], 68=[19], 197=[4], 199=[3], 328=[11], 8=[4], 968=[14], 200=[3], 265=[8], 905=[11], 843=[5], 397=[12], 400=[8], 656=[14], 403=[12], 983=[12], 407=[19], 24=[11], 89=[11], 540=[19], 860=[12], 605=[11], 479=[11], 927=[3], 737=[13], 609=[4], 610=[8], 611=[8], 228=[4], 680=[12], 939=[14], 363=[13], 301=[3], 878=[11], 815=[5], 176=[12], 306=[14], 371=[8], 756=[5], 692=[3], 949=[20], 501=[13], 696=[19], 121=[8], 122=[8]} | {19=[[68, 407, 540, 696]], 3=[[199, 200, 927, 301, 692]], 4=[[197, 8, 609, 228]], 20=[[949]], 5=[[843, 815, 756]], 8=[[265, 400, 610, 611, 371, 121, 122]], 11=[[328, 905, 24, 89, 605, 479, 878]], 12=[[397, 403, 983, 860, 680, 176]], 13=[[737, 363], [501]], 14=[[321, 968, 656, 939, 306]]} | 142.87 | 128.34
O44 | {706=[2], 643=[2], 261=[1], 5=[1], 390=[2], 967=[1], 840=[16], 11=[16], 908=[18], 269=[2], 783=[1], 594=[17], 274=[15], 340=[16], 660=[16], 20=[17], 471=[15], 216=[15], 728=[13], 857=[19], 730=[1], 218=[17], 410=[2], 27=[15], 668=[3], 543=[13], 991=[17], 415=[18], 95=[2], 545=[16], 551=[14], 423=[13], 876=[1], 686=[1], 560=[3], 240=[17], 113=[3], 434=[14], 180=[3], 373=[2], 503=[18], 56=[1], 760=[1], 699=[17], 827=[13], 635=[13], 828=[13]} | {16=[[840, 11, 340, 660, 545]], 1=[[261, 5, 967, 783, 730, 876, 686, 56, 760]], 17=[[594, 20, 218, 991, 240, 699]], 2=[[706, 643, 390, 269, 410, 95, 373]], 18=[[908, 415, 503]], 19=[[857]], 3=[[668, 560, 113, 180]], 13=[[728, 543, 423, 827, 635, 828]], 14=[[551, 434]], 15=[[274, 471, 216, 27]]} | 147.20000000000002 | 129.87
O43 | {705=[2], 449=[5], 450=[3], 130=[19], 706=[2], 66=[19], 68=[19], 263=[10], 520=[10], 777=[14], 592=[3], 337=[18], 469=[2], 982=[14], 983=[12], 217=[11], 473=[11], 90=[3], 410=[2], 602=[10], 922=[18], 347=[7], 220=[11], 94=[12], 671=[19], 223=[5], 31=[2], 928=[14], 481=[5], 738=[12], 674=[18], 613=[5], 171=[19], 172=[19], 750=[11], 48=[7], 372=[2], 53=[3], 502=[10], 438=[2], 119=[10], 759=[11], 312=[12], 185=[7], 569=[5], 59=[18], 124=[18], 382=[18]} | {2=[[705, 706, 469, 410, 31, 372, 438]], 18=[[337, 922, 674, 59, 124, 382]], 3=[[450, 592, 90, 53]], 19=[[130, 66, 68, 671, 171, 172]], 5=[[449, 223, 481, 613, 569]], 7=[[347, 48, 185]], 10=[[263, 520, 602, 502, 119]], 11=[[217, 473, 220, 750, 759]], 12=[[983, 94, 738, 312]], 14=[[777, 982, 928]]} | 147.87000000000003 | 128.34
O46 | {259=[17], 389=[2], 391=[12], 136=[4], 393=[1], 9=[4], 137=[2], 202=[2], 589=[1], 909=[18], 78=[6], 718=[17], 847=[7], 401=[6], 18=[12], 595=[17], 280=[17], 729=[1], 282=[12], 923=[7], 475=[2], 670=[2], 416=[6], 482=[4], 867=[1], 484=[7], 420=[4], 805=[4], 616=[1], 617=[19], 169=[7], 428=[18], 876=[1], 239=[17], 432=[5], 49=[7], 498=[18], 372=[2], 693=[1], 310=[6], 951=[18], 698=[17], 58=[18], 891=[5], 765=[12], 510=[19], 766=[17]} | {17=[[259, 718, 595, 280, 239, 698, 766]], 1=[[393, 589, 729, 867, 616, 876, 693]], 2=[[389, 137, 202, 475, 670, 372]], 18=[[909, 428, 498, 951, 58]], 19=[[617, 510]], 4=[[136, 9, 482, 420, 805]], 5=[[432, 891]], 6=[[78, 401, 416, 310]], 7=[[847, 923, 484, 169, 49]], 12=[[391, 18, 282, 765]]} | 148.01 | 129.87
O45 | {194=[10], 707=[19], 708=[19], 4=[3], 646=[8], 455=[15], 264=[10], 72=[13], 200=[3], 842=[8], 589=[1], 655=[3], 464=[8], 786=[13], 147=[13], 468=[13], 217=[11], 348=[19], 285=[10], 543=[13], 225=[4], 867=[1], 164=[6], 292=[15], 485=[3], 424=[6], 937=[10], 362=[3], 170=[19], 684=[15], 365=[10], 303=[4], 752=[11], 688=[8], 944=[11], 368=[1], 817=[13], 305=[8], 625=[4], 754=[10], 180=[3], 694=[1], 311=[6], 954=[10], 507=[13], 511=[15], 127=[15]} | {1=[[589, 867, 368, 694]], 19=[[707, 708, 348, 170]], 3=[[4, 200, 655, 485, 362, 180]], 4=[[225, 303, 625]], 6=[[164, 424, 311]], 8=[[646, 842, 464, 688, 305]], 10=[[194, 264, 285, 937, 365, 754, 954]], 11=[[217, 752, 944]], 13=[[72, 786, 147, 468, 543, 817, 507]], 15=[[455, 292, 684, 511, 127]]} | 147.86999999999998 | 129.87
O48 | {514=[17], 259=[17], 908=[18], 268=[18], 12=[1], 15=[3], 20=[17], 928=[14], 674=[18], 675=[1], 677=[1], 806=[14], 810=[3], 811=[3], 942=[8], 176=[12], 434=[14], 180=[3], 181=[3], 310=[6], 443=[12], 188=[15], 958=[18], 320=[11], 324=[17], 580=[6], 452=[12], 454=[8], 455=[15], 590=[14], 975=[11], 464=[8], 849=[11], 722=[12], 83=[8], 724=[18], 854=[12], 217=[11], 986=[12], 90=[3], 93=[12], 611=[8], 103=[17], 361=[17], 877=[1], 628=[11], 884=[6], 758=[11], 253=[12]} | {17=[[514, 259, 20, 324, 103, 361]], 1=[[12, 675, 677, 877]], 18=[[908, 268, 674, 958, 724]], 3=[[15, 810, 811, 180, 181, 90]], 6=[[310, 580, 884]], 8=[[942, 454, 464, 83, 611]], 11=[[320, 975, 849, 217, 628, 758]], 12=[[176, 443, 452, 722, 854, 986, 93, 253]], 14=[[928, 806, 434, 590]], 15=[[188, 455]]} | 156.05 | 129.87
O47 | {833=[14], 770=[1], 386=[18], 900=[18], 901=[15], 518=[15], 839=[20], 583=[20], 968=[14], 201=[16], 460=[1], 588=[17], 717=[17], 783=[1], 16=[14], 17=[14], 659=[18], 915=[16], 725=[18], 341=[14], 278=[19], 856=[1], 88=[14], 921=[18], 729=[1], 218=[17], 347=[7], 412=[19], 989=[17], 925=[7], 797=[7], 415=[18], 544=[16], 804=[18], 612=[5], 808=[20], 233=[5], 617=[19], 170=[19], 498=[18], 631=[20], 761=[1], 185=[7], 317=[18], 382=[18], 959=[17]} | {16=[[201, 915, 544]], 1=[[770, 460, 783, 856, 729, 761]], 17=[[588, 717, 218, 989, 959]], 18=[[386, 900, 659, 725, 921, 415, 804, 498, 317], [382]], 19=[[278, 412, 617, 170]], 20=[[839, 583, 808, 631]], 5=[[612, 233]], 7=[[347, 925, 797, 185]], 14=[[833, 968, 16, 17, 341, 88]], 15=[[901, 518]]} | 151.27 | 129.87
O49 | {324=[17], 517=[3], 70=[14], 263=[10], 776=[14], 11=[16], 77=[13], 462=[15], 656=[14], 786=[13], 146=[13], 403=[12], 468=[13], 660=[16], 22=[9], 215=[9], 279=[17], 601=[10], 27=[15], 94=[12], 415=[18], 801=[9], 417=[3], 803=[18], 230=[9], 422=[10], 360=[17], 680=[12], 937=[10], 874=[10], 363=[13], 107=[10], 364=[13], 429=[17], 626=[13], 505=[9], 57=[12], 570=[3], 634=[13], 507=[13], 59=[18], 253=[12], 893=[16], 317=[18], 126=[15], 766=[17]} | {16=[[11, 660, 893]], 17=[[324, 279, 360, 429, 766]], 18=[[415, 803, 59, 317]], 3=[[517, 417, 570]], 9=[[22, 215, 801, 230, 505]], 10=[[263, 601, 422, 937, 874, 107]], 12=[[403, 94, 680, 57, 253]], 13=[[77, 786, 146, 468, 363, 364, 626, 634], [507]], 14=[[70, 776, 656]], 15=[[462, 27, 126]]} | 148.82 | 129.53
