orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {131=[2], 653=[9], 528=[1], 272=[20], 912=[14], 913=[14], 147=[10], 148=[10], 405=[18], 152=[3], 157=[6], 286=[10], 159=[6], 416=[19], 802=[15], 420=[15], 423=[9], 679=[8], 937=[2], 813=[18], 433=[13], 949=[14], 57=[6], 958=[9], 63=[10], 959=[9], 960=[20], 451=[3], 580=[4], 710=[11], 454=[20], 331=[6], 81=[16], 87=[7], 986=[5], 989=[13], 606=[7], 994=[17], 226=[19], 997=[18], 486=[8], 614=[12], 359=[19], 874=[4], 875=[4], 363=[3], 878=[9], 751=[19], 883=[19], 382=[17]} | {1=[[528]], 2=[[131, 937]], 3=[[152, 451, 363]], 4=[[580, 874, 875]], 5=[[986]], 6=[[157, 159, 57, 331]], 7=[[87, 606]], 8=[[679, 486]], 9=[[653, 423, 958, 959, 878]], 10=[[147, 148, 286, 63]], 11=[[710]], 12=[[614]], 13=[[433, 989]], 14=[[912, 913, 949]], 15=[[802, 420]], 16=[[81]], 17=[[994, 382]], 18=[[405, 813, 997]], 19=[[416, 226, 359, 751, 883]], 20=[[272, 960, 454]]} | 204.78999999999996 | 129.44
O42 | {128=[18], 835=[15], 259=[17], 581=[4], 71=[1], 72=[11], 201=[7], 778=[6], 971=[18], 395=[19], 651=[9], 779=[6], 269=[10], 845=[15], 594=[14], 83=[12], 852=[18], 25=[13], 474=[17], 731=[9], 668=[13], 541=[6], 798=[20], 163=[14], 613=[12], 805=[17], 934=[2], 294=[5], 359=[19], 167=[5], 552=[14], 45=[3], 173=[7], 621=[4], 622=[4], 942=[1], 47=[19], 754=[10], 115=[7], 372=[16], 183=[8], 567=[11], 696=[19], 633=[2], 58=[6], 378=[10], 764=[15], 829=[20]} | {1=[[71, 942]], 2=[[934, 633]], 3=[[45]], 4=[[581, 621, 622]], 5=[[294, 167]], 6=[[778, 779, 541, 58]], 7=[[201, 173, 115]], 8=[[183]], 9=[[651, 731]], 10=[[269, 754, 378]], 11=[[72, 567]], 12=[[83, 613]], 13=[[25, 668]], 14=[[594, 163, 552]], 15=[[835, 845, 764]], 16=[[372]], 17=[[259, 474, 805]], 18=[[128, 971, 852]], 19=[[395, 359, 47, 696]], 20=[[798, 829]]} | 203.98 | 129.44
O41 | {513=[16], 15=[8], 913=[14], 529=[15], 404=[18], 664=[4], 24=[17], 921=[7], 411=[14], 795=[12], 539=[10], 797=[20], 157=[6], 30=[5], 288=[12], 43=[3], 427=[9], 684=[17], 45=[3], 306=[18], 819=[13], 440=[15], 315=[3], 572=[16], 703=[16], 319=[19], 449=[10], 963=[6], 581=[4], 710=[11], 327=[2], 456=[1], 74=[11], 586=[9], 714=[15], 80=[7], 82=[16], 343=[19], 729=[15], 473=[17], 477=[14], 224=[20], 611=[11], 873=[10], 491=[17], 754=[10], 631=[2], 254=[17], 767=[19]} | {1=[[456]], 2=[[327, 631]], 3=[[43, 45, 315]], 4=[[664, 581]], 5=[[30]], 6=[[157, 963]], 7=[[921, 80]], 8=[[15]], 9=[[427, 586]], 10=[[539, 449, 873, 754]], 11=[[710, 74, 611]], 12=[[795, 288]], 13=[[819]], 14=[[913, 411, 477]], 15=[[529, 440, 714, 729]], 16=[[513, 572, 703, 82]], 17=[[24, 684, 473, 491, 254]], 18=[[404, 306]], 19=[[319, 343, 767]], 20=[[797, 224]]} | 201.22000000000003 | 129.44
O44 | {899=[1], 835=[15], 260=[17], 453=[11], 709=[15], 326=[15], 71=[1], 522=[4], 12=[6], 79=[7], 591=[17], 721=[17], 789=[4], 728=[15], 408=[12], 536=[10], 345=[20], 282=[2], 27=[2], 667=[15], 540=[16], 285=[10], 542=[6], 543=[15], 96=[3], 481=[10], 866=[19], 290=[3], 740=[13], 741=[18], 232=[10], 489=[10], 169=[5], 427=[9], 44=[3], 110=[19], 623=[6], 369=[2], 946=[11], 434=[13], 243=[8], 947=[14], 883=[19], 51=[1], 567=[11], 441=[15], 505=[7], 571=[16]} | {1=[[899, 71, 51]], 2=[[282, 27, 369]], 3=[[96, 290, 44]], 4=[[522, 789]], 5=[[169]], 6=[[12, 542, 623]], 7=[[79, 505]], 8=[[243]], 9=[[427]], 10=[[536, 285, 481, 232, 489]], 11=[[453, 946, 567]], 12=[[408]], 13=[[740, 434]], 14=[[947]], 15=[[835, 709, 326, 728, 667, 543, 441]], 16=[[540, 571]], 17=[[260, 591, 721]], 18=[[741]], 19=[[866, 110, 883]], 20=[[345]]} | 202.55 | 129.44
O43 | {384=[17], 5=[7], 137=[11], 10=[19], 12=[6], 140=[7], 14=[8], 271=[20], 273=[20], 401=[5], 145=[20], 917=[3], 149=[18], 665=[4], 666=[6], 922=[1], 412=[14], 674=[10], 802=[15], 163=[14], 549=[8], 934=[2], 679=[8], 941=[1], 685=[17], 943=[9], 432=[6], 188=[15], 701=[16], 958=[9], 67=[12], 197=[15], 326=[15], 463=[6], 720=[8], 81=[16], 212=[10], 854=[2], 86=[7], 986=[5], 730=[15], 347=[14], 92=[7], 478=[19], 992=[14], 870=[13], 104=[14], 874=[4], 620=[4], 639=[6]} | {1=[[922, 941]], 2=[[934, 854]], 3=[[917]], 4=[[665, 874, 620]], 5=[[401, 986]], 6=[[12, 666, 432, 463, 639]], 7=[[5, 140, 86, 92]], 8=[[14, 549, 679, 720]], 9=[[943, 958]], 10=[[674, 212]], 11=[[137]], 12=[[67]], 13=[[870]], 14=[[412, 163, 347, 992, 104]], 15=[[802, 188, 197, 326, 730]], 16=[[701, 81]], 17=[[384, 685]], 18=[[149]], 19=[[10, 478]], 20=[[271, 273, 145]]} | 205.70999999999998 | 129.44
O46 | {129=[8], 900=[17], 649=[15], 139=[7], 910=[14], 401=[5], 666=[6], 282=[2], 923=[1], 28=[2], 543=[15], 928=[18], 34=[19], 674=[10], 36=[20], 938=[19], 426=[9], 811=[9], 812=[18], 566=[11], 311=[6], 569=[13], 61=[14], 62=[10], 575=[12], 708=[15], 198=[1], 199=[1], 588=[9], 336=[20], 80=[7], 211=[9], 597=[4], 88=[3], 216=[16], 861=[11], 479=[19], 867=[19], 356=[17], 875=[4], 876=[13], 493=[17], 622=[4], 246=[10], 376=[10], 124=[2], 253=[16], 765=[17], 766=[17], 255=[5]} | {1=[[923, 198, 199]], 2=[[282, 28, 124]], 3=[[88]], 4=[[597, 875, 622]], 5=[[401, 255]], 6=[[666, 311]], 7=[[139, 80]], 8=[[129]], 9=[[426, 811, 588, 211]], 10=[[674, 62, 246, 376]], 11=[[566, 861]], 12=[[575]], 13=[[569, 876]], 14=[[910, 61]], 15=[[649, 543, 708]], 16=[[216, 253]], 17=[[900, 356, 493, 765, 766]], 18=[[928, 812]], 19=[[34, 938, 479, 867]], 20=[[36, 336]]} | 205.83999999999997 | 129.44
O45 | {896=[6], 384=[17], 387=[5], 650=[15], 651=[9], 270=[10], 145=[20], 913=[14], 788=[4], 792=[16], 665=[4], 410=[14], 798=[20], 671=[8], 292=[3], 808=[19], 553=[14], 957=[9], 574=[12], 191=[15], 577=[2], 323=[13], 452=[3], 709=[15], 584=[19], 969=[11], 330=[6], 76=[17], 333=[20], 334=[20], 850=[18], 978=[11], 595=[4], 339=[7], 980=[20], 853=[18], 599=[18], 473=[17], 605=[10], 861=[11], 100=[12], 359=[19], 360=[19], 109=[19], 885=[1], 118=[3], 634=[16], 891=[10], 252=[16]} | {1=[[885]], 2=[[577]], 3=[[292, 452, 118]], 4=[[788, 665, 595]], 5=[[387]], 6=[[896, 330]], 7=[[339]], 8=[[671]], 9=[[651, 957]], 10=[[270, 605, 891]], 11=[[969, 978, 861]], 12=[[574, 100]], 13=[[323]], 14=[[913, 410, 553]], 15=[[650, 191, 709]], 16=[[792, 634, 252]], 17=[[384, 76, 473]], 18=[[850, 853, 599]], 19=[[808, 584, 359, 360, 109]], 20=[[145, 798, 333, 334, 980]]} | 201.49999999999997 | 129.44
O48 | {896=[6], 321=[13], 386=[5], 66=[12], 580=[4], 644=[17], 261=[18], 327=[2], 264=[14], 331=[6], 139=[7], 652=[9], 460=[11], 972=[5], 653=[9], 526=[1], 335=[20], 83=[12], 212=[10], 21=[17], 470=[13], 22=[17], 535=[8], 24=[17], 345=[20], 986=[5], 859=[15], 27=[2], 157=[6], 160=[10], 33=[19], 738=[2], 611=[11], 548=[8], 485=[14], 47=[19], 498=[2], 373=[16], 758=[1], 502=[12], 55=[3], 568=[13], 761=[15], 826=[7], 315=[3], 445=[8], 957=[9], 255=[5]} | {1=[[526, 758]], 2=[[327, 27, 738, 498]], 3=[[55, 315]], 4=[[580]], 5=[[386, 972, 986, 255]], 6=[[896, 331, 157]], 7=[[139, 826]], 8=[[535, 548, 445]], 9=[[652, 653, 957]], 10=[[212, 160]], 11=[[460, 611]], 12=[[66, 83, 502]], 13=[[321, 470, 568]], 14=[[264, 485]], 15=[[859, 761]], 16=[[373]], 17=[[644, 21, 22, 24]], 18=[[261]], 19=[[33, 47]], 20=[[335, 345]]} | 205.50999999999993 | 129.44
O47 | {515=[20], 900=[17], 645=[11], 841=[1], 649=[15], 330=[6], 266=[14], 587=[9], 331=[6], 588=[9], 718=[5], 529=[15], 788=[4], 853=[18], 919=[7], 600=[18], 156=[12], 604=[2], 541=[6], 478=[19], 606=[7], 738=[2], 418=[19], 228=[8], 676=[10], 997=[18], 357=[17], 165=[3], 872=[10], 682=[3], 43=[3], 939=[19], 748=[10], 303=[15], 496=[5], 624=[14], 432=[6], 176=[1], 434=[13], 50=[1], 564=[11], 949=[14], 246=[10], 375=[16], 952=[2], 58=[6], 442=[18], 510=[13]} | {1=[[841, 176, 50]], 2=[[604, 738, 952]], 3=[[165, 682, 43]], 4=[[788]], 5=[[718, 496]], 6=[[330, 331, 541, 432, 58]], 7=[[919, 606]], 8=[[228]], 9=[[587, 588]], 10=[[676, 872, 748, 246]], 11=[[645, 564]], 12=[[156]], 13=[[434, 510]], 14=[[266, 624, 949]], 15=[[649, 529, 303]], 16=[[375]], 17=[[900, 357]], 18=[[853, 600, 997, 442]], 19=[[478, 418, 939]], 20=[[515]]} | 203.54000000000002 | 129.44
O49 | {706=[19], 388=[5], 708=[15], 133=[2], 839=[18], 200=[5], 392=[12], 394=[4], 779=[6], 141=[11], 398=[3], 209=[6], 981=[15], 598=[18], 791=[16], 24=[17], 601=[18], 154=[12], 666=[6], 798=[20], 670=[8], 990=[13], 286=[10], 480=[10], 992=[14], 675=[10], 166=[3], 678=[8], 807=[19], 167=[5], 361=[3], 42=[1], 812=[18], 556=[6], 943=[9], 367=[4], 432=[6], 242=[8], 755=[10], 180=[14], 52=[1], 119=[3], 952=[2], 312=[6], 827=[7], 700=[16], 956=[12], 254=[17]} | {1=[[42, 52]], 2=[[133, 952]], 3=[[398, 166, 361, 119]], 4=[[394, 367]], 5=[[388, 200, 167]], 6=[[779, 209, 666, 556, 432, 312]], 7=[[827]], 8=[[670, 678, 242]], 9=[[943]], 10=[[286, 480, 675, 755]], 11=[[141]], 12=[[392, 154, 956]], 13=[[990]], 14=[[992, 180]], 15=[[708, 981]], 16=[[791, 700]], 17=[[24, 254]], 18=[[839, 598, 601, 812]], 19=[[706, 807]], 20=[[798]]} | 203.85 | 129.44
