orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {576=[5], 834=[14], 898=[8], 836=[9], 901=[15], 647=[11], 711=[7], 584=[10], 968=[14], 73=[17], 396=[8], 909=[18], 653=[19], 335=[12], 784=[1], 208=[7], 18=[12], 791=[2], 151=[3], 599=[12], 984=[9], 409=[18], 26=[15], 28=[9], 477=[6], 610=[8], 99=[2], 996=[16], 100=[1], 868=[19], 612=[5], 102=[19], 871=[14], 40=[5], 426=[12], 555=[4], 492=[6], 685=[15], 887=[20], 568=[20], 378=[15], 634=[13], 316=[13], 61=[7], 317=[18], 893=[16], 63=[13], 447=[9]} | {1=[[784, 100]], 2=[[791, 99]], 3=[[151]], 4=[[555]], 5=[[576, 612, 40]], 6=[[477, 492]], 7=[[711, 208, 61]], 8=[[898, 396, 610]], 9=[[836, 984, 28, 447]], 10=[[584]], 11=[[647]], 12=[[335, 18, 599, 426]], 13=[[634, 316, 63]], 14=[[834, 968, 871]], 15=[[901, 26, 685, 378]], 16=[[996, 893]], 17=[[73]], 18=[[909, 409, 317]], 19=[[653, 868, 102]], 20=[[887, 568]]} | 218.14000000000001 | 129.87
O42 | {770=[1], 515=[6], 518=[15], 904=[11], 648=[11], 777=[14], 139=[19], 654=[19], 914=[16], 274=[15], 915=[16], 277=[19], 279=[17], 32=[2], 802=[18], 424=[6], 303=[4], 439=[16], 696=[19], 440=[16], 315=[9], 316=[13], 828=[13], 957=[20], 959=[17], 842=[8], 74=[4], 973=[20], 77=[13], 849=[11], 467=[17], 855=[12], 472=[5], 856=[1], 89=[11], 857=[19], 348=[19], 96=[2], 230=[9], 999=[8], 872=[4], 104=[17], 489=[10], 369=[3], 504=[7], 376=[11], 377=[11], 251=[5], 126=[15]} | {1=[[770, 856]], 2=[[32, 96]], 3=[[369]], 4=[[303, 74, 872]], 5=[[472, 251]], 6=[[515, 424]], 7=[[504]], 8=[[842, 999]], 9=[[315, 230]], 10=[[489]], 11=[[904, 648, 849, 89, 376, 377]], 12=[[855]], 13=[[316, 828, 77]], 14=[[777]], 15=[[518, 274, 126]], 16=[[914, 915, 439, 440]], 17=[[279, 959, 467, 104]], 18=[[802]], 19=[[139, 654, 277, 696, 857, 348]], 20=[[957, 973]]} | 219.87999999999997 | 129.87
O41 | {896=[8], 384=[4], 133=[9], 778=[14], 266=[6], 651=[9], 12=[1], 780=[20], 269=[2], 400=[8], 145=[13], 915=[16], 149=[10], 663=[3], 25=[11], 157=[16], 797=[7], 546=[6], 547=[5], 804=[18], 548=[5], 165=[6], 423=[13], 296=[11], 814=[12], 562=[4], 183=[10], 696=[19], 699=[17], 317=[18], 318=[19], 575=[7], 447=[9], 960=[15], 716=[17], 849=[11], 338=[16], 467=[17], 853=[2], 729=[1], 731=[20], 607=[15], 994=[1], 996=[16], 237=[6], 622=[20], 122=[8], 892=[5], 510=[19], 638=[19]} | {1=[[12, 729, 994]], 2=[[269, 853]], 3=[[663]], 4=[[384, 562]], 5=[[547, 548, 892]], 6=[[266, 546, 165, 237]], 7=[[797, 575]], 8=[[896, 400, 122]], 9=[[133, 651, 447]], 10=[[149, 183]], 11=[[25, 296, 849]], 12=[[814]], 13=[[145, 423]], 14=[[778]], 15=[[960, 607]], 16=[[915, 157, 338, 996]], 17=[[699, 716, 467]], 18=[[804, 317]], 19=[[696, 318, 510, 638]], 20=[[780, 731, 622]]} | 220.78 | 129.87
O44 | {641=[18], 387=[9], 4=[3], 517=[3], 391=[12], 904=[11], 781=[20], 397=[12], 275=[4], 277=[19], 662=[20], 920=[18], 793=[20], 287=[20], 419=[6], 295=[11], 939=[14], 555=[4], 47=[20], 432=[5], 48=[7], 306=[14], 52=[3], 565=[9], 955=[3], 61=[7], 574=[11], 575=[7], 319=[2], 64=[6], 578=[16], 707=[19], 581=[6], 589=[1], 206=[9], 336=[18], 467=[17], 340=[16], 223=[5], 993=[9], 611=[8], 230=[9], 359=[7], 507=[13], 379=[15], 636=[11], 509=[10], 126=[15], 767=[17]} | {1=[[589]], 2=[[319]], 3=[[4, 517, 52, 955]], 4=[[275, 555]], 5=[[432, 223]], 6=[[419, 64, 581]], 7=[[48, 61, 575, 359]], 8=[[611]], 9=[[387, 565, 206, 993, 230]], 10=[[509]], 11=[[904, 295, 574, 636]], 12=[[391, 397]], 13=[[507]], 14=[[939, 306]], 15=[[379, 126]], 16=[[578, 340]], 17=[[467, 767]], 18=[[641, 920, 336]], 19=[[277, 707]], 20=[[781, 662, 793, 287, 47]]} | 218.05 | 129.87
O43 | {137=[2], 393=[1], 907=[3], 268=[18], 912=[12], 786=[13], 659=[18], 149=[10], 662=[20], 425=[4], 555=[4], 300=[11], 173=[17], 941=[8], 814=[12], 944=[11], 693=[1], 955=[3], 571=[9], 700=[16], 60=[10], 188=[15], 320=[11], 194=[10], 68=[19], 328=[11], 332=[2], 462=[15], 974=[20], 206=[9], 980=[5], 85=[14], 981=[2], 984=[9], 731=[20], 93=[12], 994=[1], 100=[1], 868=[19], 876=[1], 621=[20], 623=[6], 367=[1], 112=[11], 881=[7], 500=[9], 118=[19], 888=[20], 251=[5], 636=[11]} | {1=[[393, 693, 994, 100, 876, 367]], 2=[[137, 332, 981]], 3=[[907, 955]], 4=[[425, 555]], 5=[[980, 251]], 6=[[623]], 7=[[881]], 8=[[941]], 9=[[571, 206, 984, 500]], 10=[[149, 60, 194]], 11=[[300, 944, 320, 328, 112, 636]], 12=[[912, 814, 93]], 13=[[786]], 14=[[85]], 15=[[188, 462]], 16=[[700]], 17=[[173]], 18=[[268, 659]], 19=[[68, 868, 118]], 20=[[662, 974, 731, 621, 888]]} | 222.82999999999996 | 129.87
O46 | {256=[13], 768=[1], 706=[2], 259=[17], 196=[2], 517=[3], 330=[9], 522=[5], 970=[10], 907=[3], 781=[20], 589=[1], 335=[12], 912=[12], 144=[9], 913=[17], 82=[8], 275=[4], 603=[19], 988=[6], 156=[4], 542=[17], 31=[2], 160=[11], 33=[7], 674=[18], 226=[14], 484=[7], 422=[10], 743=[7], 39=[19], 105=[15], 235=[16], 811=[3], 44=[10], 942=[8], 115=[13], 693=[1], 437=[3], 821=[5], 311=[6], 952=[11], 185=[7], 763=[8], 700=[16], 828=[13], 125=[8], 894=[9]} | {1=[[768, 589, 693]], 2=[[706, 196, 31]], 3=[[517, 907, 811, 437]], 4=[[275, 156]], 5=[[522, 821]], 6=[[988, 311]], 7=[[33, 484, 743, 185]], 8=[[82, 942, 763, 125]], 9=[[330, 144, 894]], 10=[[970, 422, 44]], 11=[[160, 952]], 12=[[335, 912]], 13=[[256, 115, 828]], 14=[[226]], 15=[[105]], 16=[[235, 700]], 17=[[259, 913, 542]], 18=[[674]], 19=[[603, 39]], 20=[[781]]} | 218.53 | 129.87
O45 | {768=[1], 449=[5], 579=[16], 771=[1], 580=[6], 709=[9], 454=[8], 583=[20], 712=[18], 203=[2], 653=[19], 589=[1], 718=[17], 143=[9], 83=[8], 981=[2], 663=[3], 600=[12], 153=[20], 217=[11], 91=[3], 412=[19], 734=[6], 350=[16], 159=[11], 928=[14], 419=[6], 421=[4], 933=[6], 742=[7], 935=[9], 169=[7], 745=[5], 234=[18], 555=[4], 684=[15], 44=[10], 750=[11], 879=[11], 624=[6], 51=[13], 758=[11], 695=[1], 888=[20], 633=[10], 378=[15], 698=[17], 126=[15]} | {1=[[768, 771, 589, 695]], 2=[[203, 981]], 3=[[663, 91]], 4=[[421, 555]], 5=[[449, 745]], 6=[[580, 734, 419, 933, 624]], 7=[[742, 169]], 8=[[454, 83]], 9=[[709, 143, 935]], 10=[[44, 633]], 11=[[217, 159, 750, 879, 758]], 12=[[600]], 13=[[51]], 14=[[928]], 15=[[684, 378, 126]], 16=[[579, 350]], 17=[[718, 698]], 18=[[712, 234]], 19=[[653, 412]], 20=[[583, 153, 888]]} | 219.12999999999997 | 129.87
O48 | {768=[1], 640=[18], 386=[18], 133=[9], 396=[8], 525=[9], 532=[6], 789=[12], 24=[11], 281=[17], 538=[20], 161=[14], 418=[16], 292=[15], 300=[11], 301=[3], 943=[8], 307=[19], 947=[2], 695=[1], 699=[17], 573=[18], 449=[5], 197=[4], 582=[20], 202=[2], 204=[20], 973=[20], 209=[17], 981=[2], 985=[13], 473=[11], 609=[4], 614=[17], 359=[7], 615=[1], 360=[17], 488=[18], 872=[4], 233=[5], 489=[10], 364=[13], 621=[20], 751=[11], 112=[11], 626=[13], 629=[14], 635=[13], 767=[17]} | {1=[[768, 695, 615]], 2=[[947, 202, 981]], 3=[[301]], 4=[[197, 609, 872]], 5=[[449, 233]], 6=[[532]], 7=[[359]], 8=[[396, 943]], 9=[[133, 525]], 10=[[489]], 11=[[24, 300, 473, 751, 112]], 12=[[789]], 13=[[985, 364, 626, 635]], 14=[[161, 629]], 15=[[292]], 16=[[418]], 17=[[281, 699, 209, 614, 360, 767]], 18=[[640, 386, 573, 488]], 19=[[307]], 20=[[538, 582, 204, 973, 621]]} | 216.59 | 129.87
O47 | {260=[15], 966=[4], 775=[16], 455=[15], 393=[1], 905=[11], 842=[8], 394=[19], 843=[5], 396=[8], 76=[20], 781=[20], 334=[12], 590=[14], 527=[6], 272=[19], 208=[7], 594=[17], 982=[14], 663=[3], 23=[9], 793=[20], 537=[8], 474=[2], 220=[11], 861=[2], 797=[7], 416=[6], 800=[9], 930=[19], 418=[16], 226=[14], 931=[10], 676=[14], 614=[17], 552=[4], 40=[5], 680=[12], 1000=[8], 558=[17], 239=[17], 432=[5], 179=[20], 507=[13], 59=[18], 317=[18], 318=[19], 63=[13]} | {1=[[393]], 2=[[474, 861]], 3=[[663]], 4=[[966, 552]], 5=[[843, 40, 432]], 6=[[527, 416]], 7=[[208, 797]], 8=[[842, 396, 537, 1000]], 9=[[23, 800]], 10=[[931]], 11=[[905, 220]], 12=[[334, 680]], 13=[[507, 63]], 14=[[590, 982, 226, 676]], 15=[[260, 455]], 16=[[775, 418]], 17=[[594, 614, 558, 239]], 18=[[59, 317]], 19=[[394, 272, 930, 318]], 20=[[76, 781, 793, 179]]} | 215.34 | 129.87
O49 | {3=[10], 515=[6], 644=[2], 773=[5], 136=[4], 268=[18], 14=[13], 915=[16], 917=[6], 151=[3], 280=[17], 536=[3], 282=[12], 678=[1], 425=[4], 682=[8], 172=[19], 45=[9], 559=[10], 50=[13], 563=[4], 820=[7], 437=[3], 181=[3], 695=[1], 824=[18], 185=[7], 72=[13], 841=[8], 844=[11], 335=[12], 342=[13], 471=[15], 89=[11], 346=[7], 860=[12], 735=[6], 991=[17], 230=[9], 998=[16], 616=[1], 488=[18], 365=[10], 110=[20], 495=[14], 624=[6], 627=[11], 628=[11], 759=[11], 505=[9]} | {1=[[678, 695, 616]], 2=[[644]], 3=[[151, 536, 437, 181]], 4=[[136, 425, 563]], 5=[[773]], 6=[[515, 917, 735, 624]], 7=[[820, 185, 346]], 8=[[682, 841]], 9=[[45, 230, 505]], 10=[[3, 559, 365]], 11=[[844, 89, 627, 628, 759]], 12=[[282, 335, 860]], 13=[[14, 50, 72, 342]], 14=[[495]], 15=[[471]], 16=[[915, 998]], 17=[[280, 991]], 18=[[268, 824, 488]], 19=[[172]], 20=[[110]]} | 221.38999999999996 | 129.87
