orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {133=[18], 7=[16], 392=[8], 393=[8], 781=[2], 653=[13], 142=[10], 785=[11], 662=[4], 794=[17], 28=[14], 541=[9], 669=[19], 414=[1], 160=[19], 550=[6], 297=[1], 41=[4], 426=[15], 300=[18], 301=[16], 557=[17], 559=[6], 948=[7], 440=[20], 829=[6], 962=[13], 323=[20], 196=[12], 581=[12], 838=[20], 970=[19], 202=[17], 335=[15], 847=[17], 595=[7], 84=[5], 341=[7], 473=[16], 219=[11], 990=[3], 229=[13], 614=[6], 234=[15], 876=[14], 111=[9], 498=[10], 119=[3], 762=[6]} | {1=[[414, 297]], 2=[[781]], 3=[[990, 119]], 4=[[662, 41]], 5=[[84]], 6=[[550, 559, 829, 614], [762]], 7=[[948, 595, 341]], 8=[[392, 393]], 9=[[541, 111]], 10=[[142, 498]], 11=[[785, 219]], 12=[[196, 581]], 13=[[653, 962, 229]], 14=[[28, 876]], 15=[[426, 335, 234]], 16=[[7, 301, 473]], 17=[[794, 557, 202, 847]], 18=[[133, 300]], 19=[[669, 160, 970]], 20=[[440, 323, 838]]} | 229.51 | 129.87
O42 | {257=[7], 769=[19], 386=[13], 388=[19], 135=[16], 649=[4], 273=[8], 148=[10], 409=[2], 284=[3], 158=[20], 926=[3], 798=[14], 812=[16], 431=[8], 946=[16], 693=[2], 313=[15], 59=[16], 572=[7], 319=[1], 576=[3], 65=[11], 329=[12], 970=[19], 203=[3], 76=[1], 334=[5], 207=[15], 464=[12], 465=[17], 978=[14], 979=[18], 84=[5], 600=[13], 94=[4], 480=[9], 865=[2], 97=[2], 355=[6], 998=[8], 488=[18], 622=[17], 241=[1], 373=[20], 118=[12], 632=[8], 124=[5], 636=[12]} | {1=[[319, 76, 241]], 2=[[409, 693, 865, 97]], 3=[[284, 926, 576, 203]], 4=[[649, 94]], 5=[[334, 84, 124]], 6=[[355]], 7=[[257, 572]], 8=[[273, 431, 998, 632]], 9=[[480]], 10=[[148]], 11=[[65]], 12=[[329, 464, 118, 636]], 13=[[386, 600]], 14=[[798, 978]], 15=[[313, 207]], 16=[[135, 812, 946, 59]], 17=[[465, 622]], 18=[[979, 488]], 19=[[769, 388, 970]], 20=[[158, 373]]} | 226.25 | 129.87
O41 | {833=[15], 899=[10], 966=[7], 390=[10], 454=[2], 652=[16], 654=[13], 15=[18], 655=[19], 17=[20], 786=[15], 20=[10], 661=[15], 86=[20], 23=[9], 535=[8], 408=[2], 216=[11], 153=[17], 281=[10], 410=[19], 730=[13], 860=[18], 224=[5], 929=[6], 483=[12], 420=[20], 997=[8], 359=[14], 41=[4], 107=[16], 684=[1], 236=[7], 687=[6], 112=[9], 816=[19], 177=[1], 945=[11], 754=[14], 946=[16], 563=[7], 692=[12], 760=[3], 890=[16], 189=[12], 637=[10], 191=[12]} | {1=[[684, 177]], 2=[[454, 408]], 3=[[760]], 4=[[41]], 5=[[224]], 6=[[929, 687]], 7=[[966, 236, 563]], 8=[[535, 997]], 9=[[23, 112]], 10=[[899, 390, 20, 281, 637]], 11=[[216, 945]], 12=[[483, 692, 191], [189]], 13=[[654, 730]], 14=[[359, 754]], 15=[[833, 786, 661]], 16=[[652, 107, 946, 890]], 17=[[153]], 18=[[15, 860]], 19=[[655, 410, 816]], 20=[[17, 86, 420]]} | 226.07999999999998 | 129.87
O44 | {1=[11], 772=[8], 775=[13], 7=[16], 10=[14], 12=[17], 910=[9], 143=[10], 402=[11], 788=[12], 150=[12], 283=[11], 166=[6], 294=[8], 300=[18], 48=[4], 52=[1], 181=[12], 693=[2], 567=[2], 313=[15], 958=[7], 580=[2], 965=[3], 966=[7], 455=[7], 337=[18], 978=[14], 84=[5], 857=[19], 985=[5], 858=[19], 605=[13], 479=[8], 866=[2], 739=[15], 360=[13], 105=[4], 106=[4], 490=[4], 367=[10], 495=[20], 240=[1], 881=[1], 497=[7], 116=[4], 757=[1], 890=[16], 892=[16]} | {1=[[52, 240, 881, 757]], 2=[[693, 567, 580, 866]], 3=[[965]], 4=[[48, 105, 106, 490, 116]], 5=[[84, 985]], 6=[[166]], 7=[[958, 966, 455, 497]], 8=[[772, 294, 479]], 9=[[910]], 10=[[143, 367]], 11=[[1, 402, 283]], 12=[[788, 150, 181]], 13=[[775, 605, 360]], 14=[[10, 978]], 15=[[313, 739]], 16=[[7, 890, 892]], 17=[[12]], 18=[[300], [337]], 19=[[857, 858]], 20=[[495]]} | 232.79 | 129.87
O43 | {898=[10], 259=[17], 515=[11], 771=[10], 899=[10], 4=[13], 391=[8], 647=[8], 651=[16], 910=[9], 153=[17], 29=[11], 672=[18], 930=[16], 551=[6], 168=[18], 426=[15], 45=[10], 942=[5], 688=[3], 434=[4], 307=[20], 696=[1], 830=[17], 191=[12], 834=[15], 711=[10], 712=[8], 713=[10], 206=[15], 591=[19], 472=[14], 728=[20], 989=[3], 990=[3], 223=[5], 352=[15], 867=[4], 997=[8], 233=[18], 237=[11], 751=[12], 367=[10], 114=[5], 373=[20], 122=[15], 251=[18], 766=[2], 639=[7]} | {1=[[696]], 2=[[766]], 3=[[688, 989, 990]], 4=[[434, 867]], 5=[[942, 223, 114]], 6=[[551]], 7=[[639]], 8=[[391, 647, 712, 997]], 9=[[910]], 10=[[898, 771, 899, 45, 711, 713, 367]], 11=[[515, 29, 237]], 12=[[191, 751]], 13=[[4]], 14=[[472]], 15=[[426, 834, 206, 352, 122]], 16=[[651, 930]], 17=[[259, 153, 830]], 18=[[672, 168, 233, 251]], 19=[[591]], 20=[[307, 728, 373]]} | 221.72 | 129.87
O46 | {512=[2], 258=[17], 708=[7], 580=[2], 901=[15], 773=[6], 71=[14], 588=[18], 140=[11], 205=[15], 653=[13], 80=[1], 402=[11], 722=[12], 275=[16], 851=[5], 213=[14], 86=[20], 727=[8], 791=[17], 343=[10], 410=[19], 477=[4], 670=[19], 158=[20], 224=[5], 480=[9], 226=[2], 994=[6], 803=[1], 294=[8], 998=[8], 232=[18], 40=[4], 747=[17], 108=[20], 558=[6], 623=[9], 432=[12], 752=[10], 370=[1], 179=[1], 950=[19], 760=[3], 888=[7], 250=[19], 638=[10], 191=[12]} | {1=[[80, 803, 370, 179]], 2=[[512, 580, 226]], 3=[[760]], 4=[[477, 40]], 5=[[851, 224]], 6=[[773, 994, 558]], 7=[[708, 888]], 8=[[727, 294, 998]], 9=[[480, 623]], 10=[[343, 752, 638]], 11=[[140, 402]], 12=[[722, 432, 191]], 13=[[653]], 14=[[71, 213]], 15=[[901, 205]], 16=[[275]], 17=[[258, 791, 747]], 18=[[588, 232]], 19=[[410, 670, 950, 250]], 20=[[86, 158, 108]]} | 221.98 | 129.87
O45 | {644=[10], 134=[18], 774=[15], 521=[9], 649=[4], 909=[19], 14=[1], 783=[4], 530=[5], 19=[10], 25=[7], 794=[17], 924=[8], 802=[1], 424=[9], 553=[2], 172=[14], 556=[5], 302=[16], 691=[12], 183=[10], 570=[6], 442=[11], 704=[8], 832=[9], 961=[13], 577=[9], 322=[12], 708=[7], 581=[12], 840=[17], 587=[3], 975=[14], 81=[1], 851=[5], 219=[11], 93=[9], 485=[11], 998=[8], 870=[9], 360=[13], 105=[4], 617=[2], 365=[20], 498=[10], 755=[17], 628=[12], 247=[17], 249=[13], 763=[6]} | {1=[[14, 802, 81]], 2=[[553, 617]], 3=[[587]], 4=[[649, 783, 105]], 5=[[530, 556, 851]], 6=[[570, 763]], 7=[[25, 708]], 8=[[924, 704, 998]], 9=[[521, 424, 832, 577, 93, 870]], 10=[[644, 19, 183, 498]], 11=[[442, 219, 485]], 12=[[691, 322, 581, 628]], 13=[[961, 360, 249]], 14=[[172, 975]], 15=[[774]], 16=[[302]], 17=[[794, 840, 755, 247]], 18=[[134]], 19=[[909]], 20=[[365]]} | 221.67999999999998 | 129.87
O48 | {643=[10], 517=[10], 650=[4], 267=[3], 527=[10], 399=[3], 18=[10], 787=[6], 666=[17], 794=[17], 285=[12], 416=[16], 678=[19], 295=[8], 680=[3], 42=[14], 43=[14], 47=[4], 688=[3], 307=[20], 52=[1], 438=[1], 54=[5], 55=[5], 696=[1], 702=[18], 450=[16], 453=[18], 581=[12], 843=[5], 596=[7], 724=[3], 86=[20], 857=[19], 606=[11], 863=[8], 994=[6], 484=[12], 100=[17], 358=[14], 487=[2], 234=[15], 492=[14], 111=[9], 752=[10], 246=[17], 374=[20], 249=[13], 763=[6], 379=[8]} | {1=[[52, 438, 696]], 2=[[487]], 3=[[267, 399, 680, 688, 724]], 4=[[650, 47]], 5=[[54, 55, 843]], 6=[[787, 994, 763]], 7=[[596]], 8=[[295, 863, 379]], 9=[[111]], 10=[[643, 517, 527, 18, 752]], 11=[[606]], 12=[[285, 581, 484]], 13=[[249]], 14=[[42, 43, 358, 492]], 15=[[234]], 16=[[416, 450]], 17=[[666, 794, 100, 246]], 18=[[702, 453]], 19=[[678, 857]], 20=[[307, 86, 374]]} | 224.43000000000004 | 129.87
O47 | {642=[17], 645=[10], 392=[8], 264=[9], 777=[8], 523=[5], 267=[3], 142=[10], 783=[4], 656=[19], 146=[12], 530=[5], 22=[13], 791=[17], 24=[9], 408=[2], 666=[17], 283=[11], 669=[19], 550=[6], 294=[8], 807=[14], 39=[1], 681=[3], 299=[19], 820=[18], 308=[20], 53=[5], 696=[1], 62=[6], 448=[4], 195=[13], 451=[4], 969=[7], 717=[9], 976=[14], 464=[12], 977=[14], 850=[20], 218=[15], 219=[11], 731=[3], 992=[8], 741=[15], 486=[11], 234=[15], 747=[17], 757=[1], 890=[16]} | {1=[[39, 696, 757]], 2=[[408]], 3=[[267, 681, 731]], 4=[[783, 448, 451]], 5=[[523, 530, 53]], 6=[[550, 62]], 7=[[969]], 8=[[392, 777, 294, 992]], 9=[[264, 24, 717]], 10=[[645, 142]], 11=[[283, 219, 486]], 12=[[146, 464]], 13=[[22, 195]], 14=[[807, 976, 977]], 15=[[218, 741, 234]], 16=[[890]], 17=[[642, 791, 666, 747]], 18=[[820]], 19=[[656, 669, 299]], 20=[[308, 850]]} | 224.26999999999992 | 129.87
O49 | {643=[10], 644=[10], 518=[14], 134=[18], 136=[8], 649=[4], 652=[16], 141=[19], 142=[10], 16=[4], 275=[16], 26=[17], 672=[18], 419=[20], 423=[9], 551=[6], 938=[17], 171=[16], 305=[3], 692=[12], 821=[10], 824=[11], 953=[17], 445=[7], 702=[18], 834=[15], 195=[13], 708=[7], 836=[4], 454=[2], 841=[15], 457=[5], 585=[1], 715=[19], 336=[15], 209=[9], 218=[15], 219=[11], 990=[3], 610=[8], 741=[15], 617=[2], 110=[11], 880=[7], 497=[7], 758=[6], 246=[17], 760=[3], 380=[8]} | {1=[[585]], 2=[[454, 617]], 3=[[305, 990, 760]], 4=[[649, 16, 836]], 5=[[457]], 6=[[551, 758]], 7=[[445, 708, 880, 497]], 8=[[136, 610, 380]], 9=[[423, 209]], 10=[[643, 644, 142, 821]], 11=[[824, 219, 110]], 12=[[692]], 13=[[195]], 14=[[518]], 15=[[834, 841, 336, 218, 741]], 16=[[652, 275, 171]], 17=[[26, 938, 953, 246]], 18=[[134, 672, 702]], 19=[[141, 715]], 20=[[419]]} | 221.57999999999998 | 129.87
