orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {1=[15], 515=[5], 451=[2], 324=[13], 647=[7], 712=[2], 392=[6], 840=[14], 776=[2], 268=[8], 269=[8], 270=[2], 851=[7], 19=[13], 405=[8], 150=[7], 663=[9], 728=[9], 219=[6], 29=[8], 478=[14], 95=[15], 799=[12], 993=[8], 97=[7], 98=[9], 482=[13], 931=[13], 294=[6], 295=[6], 233=[8], 553=[13], 812=[14], 109=[8], 174=[8], 754=[12], 242=[6], 434=[2], 692=[6], 52=[14], 118=[7], 823=[2], 696=[13], 506=[2], 637=[14], 255=[5], 575=[12], 639=[12]} | {2=[[451, 712, 776, 270, 823, 506], [434]], 5=[[515, 255]], 6=[[392, 219, 294, 295, 242, 692]], 7=[[647, 851, 150, 97, 118]], 8=[[268, 269, 405, 29, 993, 233, 109, 174]], 9=[[663, 728, 98]], 12=[[799, 754, 575, 639]], 13=[[324, 19, 482, 931, 553, 696]], 14=[[840, 478, 812, 52, 637]], 15=[[1, 95]]} | 153.87 | 129.3
O42 | {896=[20], 130=[19], 389=[16], 779=[2], 911=[4], 918=[20], 280=[19], 154=[4], 416=[17], 163=[16], 549=[15], 293=[16], 806=[15], 815=[20], 560=[20], 439=[20], 440=[20], 443=[2], 188=[11], 960=[19], 320=[15], 707=[17], 451=[2], 580=[4], 325=[13], 455=[19], 73=[16], 205=[16], 725=[13], 597=[12], 981=[11], 600=[19], 473=[4], 987=[12], 731=[4], 603=[16], 221=[4], 734=[2], 990=[12], 863=[20], 352=[15], 867=[12], 996=[16], 231=[17], 103=[19], 620=[4], 498=[2], 882=[19], 245=[17], 893=[12]} | {16=[[389, 163, 293, 73, 205, 603, 996]], 17=[[416, 707, 231, 245]], 2=[[779, 443, 451, 734, 498]], 19=[[130, 280, 960, 455, 600, 103, 882]], 20=[[896, 918, 815, 560, 439, 440, 863]], 4=[[911, 154, 473, 731, 221, 620], [580]], 11=[[188, 981]], 12=[[597, 987, 990, 867, 893]], 13=[[325, 725]], 15=[[549, 806, 352], [320]]} | 159.49 | 128.85
O41 | {1=[15], 962=[17], 579=[14], 580=[4], 644=[6], 967=[19], 264=[1], 648=[19], 840=[14], 393=[6], 73=[16], 588=[5], 973=[17], 14=[16], 911=[4], 848=[5], 657=[5], 785=[1], 722=[15], 725=[13], 536=[13], 792=[14], 218=[16], 155=[4], 796=[16], 669=[1], 478=[14], 415=[17], 543=[19], 162=[16], 482=[13], 931=[13], 420=[5], 293=[16], 165=[1], 998=[1], 936=[16], 424=[6], 809=[19], 298=[17], 427=[1], 942=[5], 435=[15], 52=[14], 887=[16], 120=[17], 377=[17], 314=[19]} | {16=[[73, 14, 218, 796, 162, 293, 936, 887]], 17=[[962, 973, 415, 298, 120, 377]], 1=[[264, 785, 669, 165, 998, 427]], 19=[[967, 648, 543, 809, 314]], 4=[[580, 155], [911]], 5=[[588, 848, 657, 420, 942]], 6=[[644, 393, 424]], 13=[[725, 536, 482, 931]], 14=[[579, 840, 792, 478, 52]], 15=[[1, 722, 435]]} | 148.98000000000002 | 129.3
O44 | {513=[20], 642=[16], 770=[4], 261=[20], 647=[7], 391=[16], 779=[2], 270=[2], 654=[17], 143=[11], 531=[16], 150=[7], 663=[9], 280=[19], 408=[20], 796=[16], 933=[16], 421=[4], 934=[7], 807=[15], 168=[7], 809=[19], 307=[16], 436=[15], 309=[20], 822=[16], 311=[15], 60=[11], 957=[4], 581=[4], 583=[17], 199=[19], 458=[17], 716=[7], 468=[7], 85=[2], 471=[19], 600=[19], 473=[4], 862=[20], 736=[9], 224=[7], 870=[7], 615=[9], 617=[15], 236=[11], 115=[7], 761=[9], 249=[19], 766=[17]} | {16=[[642, 391, 531, 796, 933, 307, 822]], 17=[[654, 583, 458, 766]], 2=[[779, 270, 85]], 19=[[280, 809, 199, 471, 600, 249]], 20=[[513, 261, 408, 309, 862]], 4=[[770, 421, 957, 581, 473]], 7=[[647, 150, 934, 168, 716, 468, 224, 870, 115]], 9=[[663, 736, 615, 761]], 11=[[143, 60, 236]], 15=[[807, 436, 311, 617]]} | 148.37 | 129.3
O43 | {960=[19], 768=[14], 705=[19], 323=[3], 133=[8], 454=[18], 967=[19], 73=[16], 970=[12], 586=[9], 205=[16], 849=[5], 657=[5], 530=[12], 978=[16], 340=[5], 470=[14], 919=[18], 153=[18], 346=[9], 860=[8], 542=[19], 480=[12], 928=[9], 161=[16], 546=[9], 997=[1], 165=[1], 999=[12], 871=[19], 169=[18], 809=[19], 683=[12], 875=[12], 429=[1], 942=[5], 432=[5], 944=[16], 880=[14], 945=[14], 371=[12], 628=[18], 570=[9], 764=[9]} | {16=[[73, 205, 978, 161], [944]], 1=[[997, 165, 429]], 18=[[454, 919, 153, 169, 628]], 19=[[960, 705, 967, 542, 871, 809]], 3=[[323]], 5=[[849, 657, 340, 942, 432]], 8=[[133, 860]], 9=[[586, 346, 928, 546, 570, 764]], 12=[[970, 530, 480, 999, 683, 875, 371]], 14=[[768, 470, 880, 945]]} | 148.83 | 128.85
O46 | {448=[1], 897=[20], 769=[19], 900=[14], 260=[20], 773=[1], 646=[5], 906=[6], 714=[17], 971=[6], 12=[13], 142=[1], 462=[1], 400=[13], 785=[1], 401=[13], 19=[13], 147=[20], 915=[20], 21=[4], 854=[17], 858=[20], 348=[11], 926=[5], 222=[4], 223=[11], 415=[17], 353=[20], 931=[13], 869=[11], 998=[1], 360=[14], 619=[6], 556=[11], 621=[4], 814=[20], 238=[6], 175=[6], 561=[20], 690=[6], 630=[4], 313=[19], 698=[11], 379=[19], 763=[19], 124=[4], 60=[11], 317=[6]} | {1=[[448, 773, 142, 462, 785, 998]], 17=[[714, 854, 415]], 19=[[769, 313, 379, 763]], 20=[[897, 260, 147, 915, 858, 353, 814, 561]], 4=[[21, 222, 621, 630, 124]], 5=[[646, 926]], 6=[[906, 971, 619, 238, 175, 690, 317]], 11=[[348, 223, 869, 556, 698, 60]], 13=[[12, 400, 401, 19, 931]], 14=[[900, 360]]} | 146.27 | 129.3
O45 | {768=[14], 193=[13], 578=[14], 67=[12], 70=[3], 6=[6], 774=[1], 520=[13], 264=[1], 843=[10], 526=[6], 783=[15], 976=[11], 528=[12], 17=[15], 402=[11], 403=[11], 22=[10], 27=[12], 797=[6], 158=[13], 990=[12], 735=[11], 480=[12], 865=[3], 866=[20], 675=[3], 229=[20], 742=[12], 550=[15], 295=[6], 682=[10], 556=[11], 494=[12], 879=[11], 47=[3], 113=[11], 689=[15], 305=[3], 370=[15], 242=[6], 308=[20], 373=[10], 310=[3], 250=[6], 61=[11], 574=[12], 702=[10]} | {1=[[774, 264]], 3=[[70, 865, 675, 47, 305, 310]], 20=[[866, 229, 308]], 6=[[6, 526, 797, 295, 242, 250]], 10=[[843, 22, 682, 373, 702]], 11=[[976, 402, 403, 735, 556, 879, 113, 61]], 12=[[67, 528, 27, 990, 480, 742, 494, 574]], 13=[[193, 520, 158]], 14=[[768, 578]], 15=[[783, 17, 550, 689, 370]]} | 144.48 | 129.3
O48 | {775=[10], 393=[6], 138=[17], 523=[17], 908=[11], 398=[3], 654=[17], 143=[11], 145=[17], 150=[7], 668=[11], 414=[8], 543=[19], 544=[19], 32=[3], 36=[7], 676=[3], 549=[15], 810=[11], 811=[10], 946=[17], 437=[15], 185=[8], 953=[6], 313=[19], 698=[11], 60=[11], 964=[15], 200=[10], 329=[6], 75=[15], 846=[12], 718=[11], 207=[10], 592=[11], 851=[7], 596=[12], 469=[7], 861=[8], 227=[11], 230=[6], 999=[12], 745=[3], 362=[17], 619=[6], 493=[12], 749=[12], 756=[19], 119=[17]} | {17=[[138, 523, 654, 145, 946, 362, 119]], 3=[[398, 32, 676, 745]], 19=[[543, 544, 313, 756]], 6=[[393, 953, 329, 230, 619]], 7=[[150, 36, 851, 469]], 8=[[414, 185, 861]], 10=[[775, 811, 200, 207]], 11=[[908, 143, 668, 810, 698, 60, 718, 592, 227]], 12=[[846, 596, 999, 493, 749]], 15=[[549, 437, 964, 75]]} | 148.8 | 129.3
O47 | {256=[12], 2=[15], 386=[17], 450=[14], 771=[5], 579=[14], 900=[14], 709=[12], 9=[8], 715=[7], 267=[16], 460=[8], 845=[9], 461=[8], 334=[16], 14=[16], 846=[12], 721=[12], 148=[5], 853=[17], 469=[7], 981=[11], 663=[9], 793=[14], 217=[16], 218=[16], 346=[9], 26=[12], 27=[12], 796=[16], 733=[8], 925=[7], 548=[15], 806=[15], 999=[12], 488=[12], 173=[8], 622=[14], 879=[11], 50=[7], 307=[16], 371=[12], 244=[17], 119=[17], 315=[8], 700=[17], 511=[8]} | {16=[[267, 334, 14, 217, 218, 796, 307]], 17=[[386, 853, 244, 119, 700]], 5=[[771, 148]], 7=[[715, 469, 925, 50]], 8=[[9, 460, 733, 173, 315, 511], [461]], 9=[[845, 663, 346]], 11=[[981, 879]], 12=[[256, 709, 846, 721, 26, 27, 999, 488, 371]], 14=[[450, 579, 900, 793, 622]], 15=[[2, 548, 806]]} | 147.50000000000003 | 129.3
O49 | {321=[15], 257=[15], 771=[5], 964=[15], 262=[11], 712=[2], 776=[2], 969=[8], 972=[2], 204=[13], 653=[7], 590=[5], 463=[12], 976=[11], 849=[5], 81=[7], 721=[12], 595=[12], 726=[13], 24=[2], 664=[7], 89=[11], 25=[2], 410=[6], 220=[6], 93=[8], 800=[12], 548=[15], 485=[12], 422=[7], 167=[7], 104=[1], 106=[13], 618=[6], 299=[2], 494=[12], 303=[8], 112=[1], 176=[6], 753=[6], 626=[11], 565=[6], 823=[2], 312=[1], 953=[6], 60=[11], 61=[11], 894=[12]} | {1=[[104, 112, 312]], 2=[[712, 776, 972, 24, 25, 299, 823]], 5=[[771, 590, 849]], 6=[[410, 220, 618, 176, 753, 565, 953]], 7=[[653, 81, 664, 422, 167]], 8=[[969, 93, 303]], 11=[[262, 976, 89, 626, 60, 61]], 12=[[463, 721, 595, 800, 485, 494, 894]], 13=[[204, 726, 106]], 15=[[321, 257, 964, 548]]} | 147.8 | 129.3
