orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {961=[6], 515=[20], 773=[2], 710=[11], 775=[2], 391=[12], 455=[20], 712=[13], 329=[2], 11=[6], 460=[11], 396=[9], 12=[6], 973=[20], 462=[6], 271=[20], 15=[8], 657=[6], 539=[10], 94=[9], 158=[6], 286=[10], 990=[13], 991=[20], 671=[8], 35=[20], 611=[11], 933=[2], 550=[8], 423=[9], 680=[8], 747=[10], 748=[10], 943=[9], 879=[9], 559=[2], 817=[14], 308=[14], 948=[14], 181=[14], 502=[12], 566=[11], 503=[12], 122=[2], 378=[10]} | {2=[[773, 775, 329, 933, 559, 122]], 20=[[515, 455, 973, 271, 991, 35]], 6=[[961, 11, 12, 462, 657, 158]], 8=[[15, 671, 550, 680]], 9=[[396, 94, 423, 943, 879]], 10=[[539, 286, 747, 748, 378]], 11=[[710, 460, 611, 566]], 12=[[391, 502, 503]], 13=[[712, 990]], 14=[[817, 308, 948, 181]]} | 136.10000000000002 | 128.69
O42 | {512=[16], 129=[8], 898=[10], 775=[2], 652=[9], 13=[8], 23=[17], 283=[10], 540=[16], 927=[10], 803=[17], 688=[2], 177=[17], 818=[2], 566=[11], 950=[2], 571=[16], 63=[10], 65=[10], 450=[10], 581=[4], 201=[7], 719=[7], 978=[11], 595=[4], 596=[4], 724=[17], 212=[10], 214=[2], 86=[7], 856=[2], 473=[17], 731=[9], 92=[7], 351=[14], 737=[2], 738=[2], 231=[10], 103=[14], 104=[14], 105=[17], 746=[10], 112=[7], 753=[10], 114=[7], 626=[9], 372=[16], 244=[10], 127=[16]} | {16=[[512, 540, 571, 372, 127]], 17=[[23, 803, 177, 724, 473, 105]], 2=[[775, 688, 818, 950, 214, 856, 737, 738]], 4=[[581, 595, 596]], 7=[[201, 719, 86, 92, 112, 114]], 8=[[129, 13]], 9=[[652, 731, 626]], 10=[[898, 283, 927, 63, 65, 450, 212, 231, 746, 753, 244]], 11=[[566, 978]], 14=[[351, 103, 104]]} | 134.39999999999998 | 128.48
O41 | {129=[8], 134=[11], 903=[14], 266=[14], 659=[6], 21=[17], 150=[18], 537=[10], 666=[6], 283=[10], 285=[10], 160=[10], 35=[20], 421=[15], 37=[20], 677=[8], 549=[8], 552=[14], 557=[6], 945=[11], 562=[17], 570=[16], 700=[16], 829=[20], 62=[10], 191=[15], 963=[6], 324=[15], 197=[15], 74=[11], 331=[6], 75=[17], 974=[20], 847=[16], 720=[8], 81=[16], 852=[18], 598=[18], 600=[18], 859=[15], 988=[16], 735=[14], 995=[10], 486=[8], 742=[15], 231=[10], 488=[10], 235=[17], 890=[10], 766=[17]} | {16=[[570, 700, 847, 81, 988]], 17=[[21, 562, 75, 235, 766]], 18=[[150, 852, 598, 600]], 20=[[35, 37, 829, 974]], 6=[[659, 666, 557, 963, 331]], 8=[[129, 677, 549, 720, 486]], 10=[[537, 283, 285, 160, 62, 995, 231, 488, 890]], 11=[[134, 945, 74]], 14=[[903, 266, 552, 735]], 15=[[421, 191, 324, 197, 859, 742]]} | 127.60000000000001 | 127.2
O44 | {514=[20], 706=[19], 579=[4], 3=[5], 454=[20], 326=[15], 76=[17], 142=[12], 655=[4], 399=[5], 848=[16], 849=[16], 403=[17], 729=[15], 602=[20], 795=[12], 540=[16], 865=[19], 417=[19], 33=[19], 226=[19], 802=[15], 37=[20], 294=[5], 614=[12], 422=[15], 358=[19], 168=[5], 105=[17], 875=[4], 684=[17], 111=[19], 881=[9], 241=[8], 562=[17], 243=[8], 884=[19], 440=[15], 571=[16], 636=[16], 125=[16], 445=[8], 317=[19], 829=[20], 958=[9], 959=[9]} | {16=[[848, 849, 540, 571, 636, 125]], 17=[[76, 403, 105, 684, 562]], 19=[[706, 865, 417, 33, 226, 358, 111, 884, 317]], 20=[[514, 454, 602, 37, 829]], 4=[[579, 655, 875]], 5=[[3, 399, 294, 168]], 8=[[241, 243, 445]], 9=[[881, 958, 959]], 12=[[142, 795, 614]], 15=[[326, 729, 802, 422, 440]]} | 126.07999999999998 | 128.69
O43 | {256=[5], 386=[5], 387=[5], 771=[2], 517=[1], 142=[12], 400=[5], 401=[5], 919=[7], 792=[16], 281=[2], 922=[1], 411=[14], 167=[5], 170=[7], 683=[3], 299=[7], 44=[3], 300=[7], 689=[2], 54=[3], 186=[12], 955=[12], 316=[3], 574=[12], 195=[1], 456=[1], 843=[1], 972=[5], 207=[1], 336=[20], 854=[2], 91=[7], 92=[7], 98=[3], 101=[12], 614=[12], 361=[3], 617=[2], 366=[4], 368=[2], 371=[2], 501=[12], 375=[16], 249=[14], 633=[2], 250=[16], 252=[16], 255=[5]} | {16=[[792, 375, 250, 252]], 1=[[517, 922, 195, 456, 843, 207]], 2=[[771, 281, 689, 854, 617, 368, 371, 633]], 3=[[683, 44, 54, 316, 98, 361]], 20=[[336]], 4=[[366]], 5=[[256, 386, 387, 400, 401, 167, 972, 255]], 7=[[919, 170, 299, 300, 91, 92]], 12=[[142, 186, 955, 574, 101, 614, 501]], 14=[[411, 249]]} | 144.75 | 129.44
O46 | {385=[17], 449=[10], 899=[1], 452=[3], 964=[1], 902=[14], 70=[1], 838=[18], 198=[1], 270=[10], 336=[20], 528=[1], 16=[14], 144=[20], 17=[20], 18=[20], 466=[10], 917=[3], 151=[3], 536=[10], 925=[10], 29=[5], 349=[14], 670=[8], 30=[5], 31=[5], 163=[14], 228=[8], 997=[18], 296=[5], 1000=[18], 748=[10], 236=[17], 814=[18], 878=[9], 304=[18], 179=[17], 692=[3], 310=[5], 120=[14], 376=[10], 249=[14], 954=[18], 378=[10], 444=[18], 255=[5]} | {17=[[385, 236, 179]], 1=[[899, 964, 70, 198, 528]], 18=[[838, 997, 1000, 814, 304, 954, 444]], 3=[[452, 917, 151, 692]], 20=[[336, 144, 17, 18]], 5=[[29, 30, 31, 296, 310, 255]], 8=[[670, 228]], 9=[[878]], 10=[[449, 270, 466, 536, 925, 748, 376, 378]], 14=[[902, 16, 349, 163, 120, 249]]} | 124.66 | 129.44
O45 | {644=[17], 773=[2], 8=[17], 649=[15], 394=[4], 525=[4], 529=[15], 788=[4], 280=[15], 409=[12], 795=[12], 156=[12], 544=[15], 420=[15], 168=[5], 42=[1], 175=[1], 303=[15], 439=[13], 952=[2], 569=[13], 574=[12], 703=[16], 191=[15], 577=[2], 321=[13], 323=[13], 453=[11], 72=[11], 328=[2], 73=[11], 76=[17], 210=[13], 723=[15], 595=[4], 470=[13], 216=[16], 474=[17], 730=[15], 859=[15], 989=[13], 737=[2], 102=[12], 618=[2], 497=[5], 498=[2], 372=[16], 757=[4], 886=[1], 763=[15]} | {16=[[703, 216, 372]], 17=[[644, 8, 76, 474]], 1=[[42, 175, 886]], 2=[[773, 952, 577, 328, 737, 618, 498]], 4=[[394, 525, 788, 595, 757]], 5=[[168, 497]], 11=[[453, 72, 73]], 12=[[409, 795, 156, 574, 102]], 13=[[439, 569, 321, 323, 210, 470, 989]], 15=[[649, 529, 280, 544, 420, 303, 191, 723, 730, 859, 763]]} | 146.67000000000002 | 129.44
O48 | {320=[13], 1=[12], 66=[12], 259=[17], 580=[4], 262=[18], 198=[1], 842=[1], 780=[1], 77=[17], 142=[12], 399=[5], 80=[7], 467=[4], 531=[18], 852=[18], 150=[18], 600=[18], 664=[4], 479=[19], 608=[7], 289=[12], 226=[19], 803=[17], 869=[13], 741=[18], 295=[5], 743=[16], 170=[7], 491=[17], 107=[17], 235=[17], 939=[19], 238=[7], 687=[7], 113=[7], 434=[13], 883=[19], 819=[13], 372=[16], 569=[13], 635=[16], 443=[18], 700=[16], 701=[16], 702=[16], 254=[17]} | {16=[[743, 372, 635, 700, 701, 702]], 17=[[259, 77, 803, 491, 107, 235, 254]], 1=[[198, 842, 780]], 18=[[262, 531, 852, 150, 600, 741, 443]], 19=[[479, 226, 939, 883]], 4=[[580, 467, 664]], 5=[[399, 295]], 7=[[80, 608, 170, 238, 687, 113]], 12=[[1, 142, 289], [66]], 13=[[320, 869, 434, 819, 569]]} | 145.22 | 129.44
O47 | {256=[5], 257=[3], 66=[12], 450=[10], 966=[4], 712=[13], 201=[7], 393=[8], 522=[4], 524=[4], 717=[3], 462=[6], 785=[4], 657=[6], 274=[7], 275=[7], 788=[4], 916=[3], 724=[17], 468=[4], 725=[17], 22=[17], 664=[4], 284=[10], 481=[10], 161=[10], 227=[8], 229=[3], 678=[8], 232=[10], 681=[3], 169=[5], 297=[5], 235=[17], 875=[4], 685=[17], 686=[17], 432=[6], 177=[17], 691=[3], 245=[10], 503=[12], 119=[3], 568=[13], 891=[10], 828=[7], 894=[6]} | {17=[[724, 725, 22, 235, 685, 686, 177]], 3=[[257, 717, 916, 229, 681, 691, 119]], 4=[[966, 522, 524, 785, 788, 468, 664, 875]], 5=[[256, 169, 297]], 6=[[462, 657, 432, 894]], 7=[[201, 274, 275, 828]], 8=[[393, 227, 678]], 10=[[450, 284, 481, 232, 245, 891], [161]], 12=[[66, 503]], 13=[[712, 568]]} | 141.85 | 128.69
O49 | {577=[2], 2=[7], 514=[20], 775=[2], 776=[2], 392=[12], 713=[8], 586=[9], 778=[6], 330=[6], 974=[20], 463=[6], 208=[16], 209=[6], 403=[17], 659=[6], 856=[2], 473=[17], 89=[17], 602=[20], 666=[6], 155=[12], 540=[16], 670=[8], 671=[8], 931=[2], 355=[17], 37=[20], 678=[8], 806=[17], 616=[2], 684=[17], 108=[17], 173=[7], 879=[9], 241=[8], 115=[7], 372=[16], 502=[12], 310=[5], 950=[2], 951=[2], 631=[2], 824=[9], 122=[2], 572=[16], 573=[16]} | {16=[[208, 540, 372, 572, 573]], 17=[[403, 473, 89, 355, 806, 684, 108]], 2=[[577, 775, 776, 856, 931, 616, 950, 951, 631, 122]], 20=[[514, 974, 602, 37]], 5=[[310]], 6=[[778, 330, 463, 209, 659, 666]], 7=[[2, 173, 115]], 8=[[713, 670, 671, 678, 241]], 9=[[586, 879, 824]], 12=[[392, 155, 502]]} | 138.98 | 128.69
