orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {896=[6], 257=[3], 260=[17], 901=[17], 6=[6], 904=[14], 265=[14], 777=[6], 651=[9], 397=[3], 784=[4], 785=[4], 274=[7], 659=[6], 787=[4], 660=[6], 788=[4], 917=[3], 664=[4], 153=[3], 665=[4], 410=[14], 412=[14], 542=[6], 158=[6], 290=[3], 291=[3], 804=[17], 165=[3], 166=[3], 423=[9], 298=[7], 938=[19], 427=[9], 939=[19], 940=[19], 684=[17], 300=[7], 172=[7], 558=[6], 943=[9], 434=[13], 949=[14], 181=[14], 56=[6], 185=[9], 697=[14], 827=[7], 60=[14], 317=[19], 576=[6], 961=[6], 705=[19], 963=[6], 580=[4], 582=[19], 457=[14], 201=[7], 458=[14], 78=[17], 847=[16], 721=[17], 211=[9], 213=[13], 85=[7], 597=[4], 89=[17], 987=[16], 347=[14], 731=[9], 477=[14], 93=[9], 94=[9], 222=[4], 97=[3], 994=[17], 98=[3], 354=[3], 869=[13], 105=[17], 234=[17], 363=[3], 619=[4], 364=[3], 237=[7], 110=[19], 880=[9], 882=[19], 116=[3], 757=[4], 119=[3], 508=[17], 510=[13]} | {16=[[847, 987]], 17=[[260, 901, 804, 684, 78, 721, 89, 994, 105, 234, 508]], 3=[[257, 397, 917, 153, 290, 291, 165, 166, 97, 98, 354, 363, 364, 116, 119]], 19=[[938, 939, 940, 317, 705, 582, 110, 882]], 4=[[784, 785, 787, 788, 664, 665, 580, 597, 222, 619, 757]], 6=[[896, 6, 777, 659, 660, 542, 158, 558, 56, 576, 961, 963]], 7=[[274, 298, 300, 172, 827, 201, 85, 237]], 9=[[651, 423, 427, 943, 185, 211, 731, 93, 94, 880]], 13=[[434, 213, 869, 510]], 14=[[904, 265, 410, 412, 949, 181, 697, 60, 457, 458, 347, 477]]} | 192.09000000000003 | 128.69
O42 | {640=[6], 257=[3], 3=[5], 777=[6], 521=[15], 394=[4], 138=[7], 779=[6], 524=[4], 401=[5], 785=[4], 145=[20], 146=[9], 18=[20], 148=[10], 789=[4], 277=[5], 791=[16], 279=[15], 538=[10], 283=[10], 284=[10], 285=[10], 797=[20], 925=[10], 414=[4], 160=[10], 544=[15], 161=[10], 38=[10], 426=[9], 683=[3], 44=[3], 300=[7], 558=[6], 432=[6], 693=[3], 54=[3], 310=[5], 440=[15], 827=[7], 188=[15], 830=[20], 702=[16], 960=[20], 64=[10], 962=[6], 451=[3], 836=[15], 455=[20], 200=[5], 330=[6], 331=[6], 587=[9], 204=[20], 205=[20], 335=[20], 847=[16], 849=[16], 81=[16], 980=[20], 596=[4], 726=[4], 727=[15], 729=[15], 859=[15], 221=[15], 606=[7], 480=[10], 352=[3], 224=[20], 97=[3], 610=[15], 995=[10], 742=[15], 874=[4], 363=[3], 620=[4], 621=[4], 238=[7], 622=[4], 239=[7], 495=[5], 372=[16], 376=[10], 888=[10], 250=[16], 251=[16], 127=[16], 639=[6]} | {16=[[791, 702, 847, 849, 81, 372, 250, 251, 127]], 3=[[257, 683, 44, 693, 54, 451, 352, 97, 363]], 4=[[394, 524, 785, 789, 414, 596, 726, 874, 620, 621, 622]], 20=[[145, 18, 797, 830, 960, 455, 204, 205, 335, 980, 224]], 5=[[3, 401, 277, 310, 200, 495]], 6=[[640, 777, 779, 558, 432, 962, 330, 331, 639]], 7=[[138, 300, 827, 606, 238, 239]], 9=[[146, 426, 587]], 10=[[148, 538, 283, 284, 285, 925, 160, 161, 38, 64, 995, 376, 888], [480]], 15=[[521, 279, 544, 440, 188, 836, 727, 729, 859, 221, 610, 742]]} | 191.64 | 127.2
O41 | {768=[19], 769=[19], 4=[18], 645=[11], 517=[1], 389=[12], 263=[18], 904=[14], 137=[11], 650=[15], 908=[19], 910=[14], 784=[4], 788=[4], 406=[18], 150=[18], 278=[15], 280=[15], 409=[12], 922=[1], 797=[20], 287=[12], 32=[19], 33=[19], 801=[15], 802=[15], 35=[20], 421=[15], 552=[14], 553=[14], 941=[1], 302=[15], 433=[13], 819=[13], 180=[14], 52=[1], 565=[11], 949=[14], 567=[11], 697=[14], 569=[13], 955=[12], 699=[14], 187=[12], 188=[15], 189=[15], 574=[12], 190=[15], 191=[15], 960=[20], 321=[13], 322=[13], 195=[1], 323=[13], 68=[12], 837=[18], 709=[15], 454=[20], 455=[20], 967=[4], 72=[11], 202=[18], 333=[20], 334=[20], 206=[1], 975=[4], 210=[13], 595=[4], 726=[4], 727=[15], 860=[11], 990=[13], 224=[20], 993=[14], 867=[19], 484=[14], 997=[18], 870=[13], 998=[18], 358=[19], 102=[12], 103=[14], 1000=[18], 875=[4], 109=[19], 750=[19], 500=[18], 757=[4], 758=[1], 503=[12]} | {1=[[517, 922, 941, 52, 195, 206, 758]], 18=[[4, 263, 406, 150, 837, 202, 997, 998, 1000, 500]], 19=[[768, 769, 908, 32, 33, 867, 358, 109, 750]], 4=[[784, 788, 967, 975, 595, 726, 875, 757]], 20=[[797, 35, 960, 454, 455, 333, 334, 224]], 11=[[645, 137, 565, 567, 72, 860]], 12=[[389, 409, 287, 955, 187, 574, 68, 102, 503]], 13=[[433, 819, 569, 321, 322, 323, 210, 990, 870]], 14=[[904, 910, 552, 553, 180, 949, 697, 699, 993, 484, 103]], 15=[[650, 278, 280, 801, 802, 421, 302, 188, 189, 190, 191, 709, 727]]} | 197.29000000000002 | 129.44
O44 | {514=[20], 642=[2], 516=[1], 132=[2], 389=[12], 645=[11], 646=[11], 902=[14], 518=[1], 520=[15], 8=[17], 650=[15], 652=[9], 909=[19], 527=[1], 144=[20], 21=[17], 278=[15], 663=[11], 793=[12], 922=[1], 798=[20], 801=[15], 418=[19], 34=[19], 802=[15], 162=[12], 807=[19], 40=[1], 936=[2], 553=[14], 41=[1], 942=[1], 430=[2], 46=[19], 174=[1], 688=[2], 561=[17], 690=[2], 307=[14], 821=[9], 565=[11], 694=[19], 698=[14], 188=[15], 317=[19], 190=[15], 318=[19], 830=[20], 575=[12], 194=[1], 196=[15], 453=[11], 198=[1], 842=[1], 714=[15], 459=[2], 715=[15], 588=[9], 460=[11], 844=[15], 206=[1], 977=[14], 722=[15], 981=[15], 343=[19], 728=[15], 345=[20], 985=[17], 89=[17], 859=[15], 731=[9], 604=[2], 349=[14], 991=[20], 737=[2], 994=[17], 612=[11], 356=[17], 102=[12], 614=[12], 358=[19], 104=[14], 235=[17], 108=[17], 111=[19], 369=[2], 881=[9], 882=[19], 626=[9], 249=[14], 121=[2]} | {1=[[516, 518, 527, 922, 40, 41, 942, 174, 194, 198, 842, 206]], 17=[[8, 21, 561, 985, 89, 994, 356, 235, 108]], 2=[[642, 132, 936, 430, 688, 690, 459, 604, 737, 369, 121]], 19=[[909, 418, 34, 807, 46, 694, 317, 318, 343, 358, 111, 882]], 20=[[514, 144, 798, 830, 345, 991]], 9=[[652, 821, 588, 731, 881, 626]], 11=[[645, 646, 663, 565, 453, 460, 612]], 12=[[389, 793, 162, 575, 102, 614]], 14=[[902, 553, 307, 698, 977, 349, 104, 249]], 15=[[520, 650, 278, 801, 802, 188, 190, 196, 714, 715, 844, 722, 981, 728, 859]]} | 197.25 | 129.44
O43 | {769=[19], 902=[14], 519=[15], 392=[12], 10=[19], 907=[19], 908=[19], 524=[4], 13=[8], 526=[1], 783=[4], 143=[12], 655=[4], 784=[4], 16=[14], 657=[6], 20=[10], 148=[10], 534=[8], 407=[12], 793=[12], 666=[6], 538=[10], 285=[10], 799=[15], 800=[15], 673=[10], 289=[12], 676=[10], 549=[8], 166=[3], 39=[14], 41=[1], 43=[3], 557=[6], 45=[3], 46=[19], 47=[19], 432=[6], 816=[14], 49=[1], 307=[14], 435=[3], 52=[1], 180=[14], 181=[14], 822=[6], 54=[3], 694=[19], 823=[6], 440=[15], 57=[6], 60=[14], 445=[8], 575=[12], 449=[10], 834=[15], 962=[6], 835=[15], 197=[15], 583=[19], 975=[4], 592=[14], 594=[14], 467=[4], 472=[3], 349=[14], 477=[14], 478=[19], 480=[10], 97=[3], 742=[15], 872=[10], 363=[3], 747=[10], 366=[4], 241=[8], 242=[8], 754=[10], 755=[10], 243=[8], 885=[1], 886=[1], 759=[1], 376=[10], 760=[1], 120=[14], 761=[15], 377=[10], 891=[10], 764=[15]} | {1=[[526, 41, 49, 52, 885, 886, 759, 760]], 19=[[769, 10, 907, 908, 46, 47, 694, 583, 478]], 3=[[166, 43, 45, 435, 54, 472, 97, 363]], 4=[[524, 783, 655, 784, 975, 467, 366]], 6=[[657, 666, 557, 432, 822, 823, 57, 962]], 8=[[13, 534, 549, 445, 241, 242, 243]], 10=[[20, 148, 538, 285, 673, 676, 449, 480, 872, 747, 754, 755, 376, 377, 891]], 12=[[392, 143, 407, 793, 289, 575]], 14=[[902, 16, 39, 816, 307, 180, 181, 60, 592, 594, 349, 477, 120]], 15=[[519, 799, 800, 440, 834, 835, 197, 742, 761, 764]]} | 191.9 | 129.44
O46 | {640=[6], 896=[6], 129=[8], 897=[10], 899=[1], 259=[17], 644=[17], 900=[17], 260=[17], 6=[6], 902=[14], 777=[6], 9=[19], 265=[14], 907=[19], 267=[10], 523=[4], 12=[6], 910=[14], 398=[3], 656=[4], 785=[4], 147=[10], 20=[10], 917=[3], 22=[17], 536=[10], 410=[14], 924=[1], 157=[6], 541=[6], 542=[6], 927=[10], 160=[10], 161=[10], 675=[10], 549=[8], 550=[8], 806=[17], 42=[1], 43=[3], 47=[19], 435=[3], 179=[17], 182=[8], 439=[13], 696=[19], 568=[13], 57=[6], 313=[6], 59=[14], 65=[10], 963=[6], 69=[1], 965=[1], 967=[4], 583=[19], 457=[14], 843=[1], 716=[8], 462=[6], 721=[17], 593=[14], 210=[13], 468=[4], 472=[3], 477=[14], 350=[14], 222=[4], 990=[13], 734=[14], 352=[3], 866=[19], 98=[3], 227=[8], 355=[17], 740=[13], 356=[17], 484=[14], 357=[17], 869=[13], 485=[14], 488=[10], 489=[10], 619=[4], 363=[3], 748=[10], 749=[10], 884=[19], 119=[3], 247=[14], 891=[10], 379=[1], 894=[6]} | {1=[[899, 924, 42, 69, 965, 843, 379]], 17=[[259, 644, 900, 260, 22, 806, 179, 721, 355, 356, 357]], 19=[[9, 907, 47, 696, 583, 866, 884]], 3=[[398, 917, 43, 435, 472, 352, 98, 363, 119]], 4=[[523, 656, 785, 967, 468, 222, 619]], 6=[[640, 896, 6, 777, 12, 157, 541, 542, 57, 313, 963, 462, 894]], 8=[[129, 549, 550, 182, 716, 227]], 10=[[897, 267, 147, 20, 536, 927, 160, 161, 675, 65, 488, 489, 748, 749, 891]], 13=[[439, 568, 210, 990, 740, 869]], 14=[[902, 265, 910, 410, 59, 457, 593, 477, 350, 734, 484, 485, 247]]} | 198.04000000000002 | 129.44
O45 | {516=[1], 389=[12], 6=[6], 7=[17], 780=[1], 524=[4], 142=[12], 782=[1], 527=[1], 657=[6], 785=[4], 403=[17], 660=[6], 917=[3], 534=[8], 151=[3], 407=[12], 24=[17], 156=[12], 413=[4], 671=[8], 290=[3], 418=[19], 420=[15], 421=[15], 938=[19], 42=[1], 682=[3], 683=[3], 685=[17], 558=[6], 49=[1], 691=[3], 437=[19], 54=[3], 182=[8], 823=[6], 312=[6], 440=[15], 57=[6], 955=[12], 188=[15], 445=[8], 189=[15], 702=[16], 705=[19], 193=[19], 962=[6], 324=[15], 580=[4], 709=[15], 582=[19], 840=[1], 456=[1], 713=[8], 585=[19], 715=[15], 206=[1], 591=[17], 976=[15], 82=[16], 83=[12], 981=[15], 725=[17], 597=[4], 727=[15], 728=[15], 474=[17], 730=[15], 219=[17], 225=[17], 97=[3], 98=[3], 355=[17], 613=[12], 101=[12], 357=[17], 230=[6], 358=[19], 359=[19], 487=[3], 105=[17], 107=[17], 108=[17], 621=[4], 365=[4], 373=[16], 251=[16], 764=[15], 253=[16], 381=[1]} | {16=[[702, 82, 373, 251, 253]], 1=[[516, 780, 782, 527, 42, 49, 840, 456, 206, 381]], 17=[[7, 403, 24, 685, 591, 725, 474, 219, 225, 355, 357, 105, 107, 108]], 3=[[917, 151, 290, 682, 683, 691, 54, 97, 98, 487]], 19=[[418, 938, 437, 705, 193, 582, 585, 358, 359]], 4=[[524, 785, 413, 580, 597, 621, 365]], 6=[[6, 657, 660, 558, 823, 312, 57, 962, 230]], 8=[[534, 671, 182, 445, 713]], 12=[[389, 142, 407, 156, 955, 83, 613, 101]], 15=[[420, 421, 440, 188, 189, 324, 709, 715, 976, 981, 727, 728, 730], [764]]} | 201.13000000000002 | 129.44
O48 | {384=[17], 513=[16], 641=[2], 515=[20], 133=[2], 7=[17], 135=[11], 392=[12], 906=[2], 781=[1], 782=[1], 14=[8], 528=[1], 18=[20], 790=[16], 22=[17], 922=[1], 795=[12], 155=[12], 923=[1], 924=[1], 541=[6], 670=[8], 798=[20], 287=[12], 159=[6], 547=[3], 932=[2], 292=[3], 36=[20], 933=[2], 805=[17], 293=[3], 678=[8], 42=[1], 684=[17], 685=[17], 941=[1], 174=[1], 688=[2], 176=[1], 179=[17], 691=[3], 692=[3], 693=[3], 53=[3], 54=[3], 311=[6], 313=[6], 953=[2], 315=[3], 577=[2], 962=[6], 451=[3], 195=[1], 67=[12], 198=[1], 841=[1], 75=[17], 331=[6], 332=[6], 974=[20], 462=[6], 720=[8], 209=[6], 849=[16], 82=[16], 854=[2], 856=[2], 220=[20], 604=[2], 733=[11], 101=[12], 613=[12], 487=[3], 106=[17], 618=[2], 371=[2], 373=[16], 503=[12], 631=[2], 250=[16], 635=[16], 380=[1], 382=[17], 126=[16], 383=[17]} | {16=[[513, 790, 849, 82, 373, 250, 635, 126]], 17=[[384, 7, 22, 805, 684, 685, 179, 75, 106, 382, 383]], 1=[[781, 782, 528, 922, 923, 924, 42, 941, 174, 176, 195, 198, 841, 380]], 2=[[641, 133, 906, 932, 933, 688, 953, 577, 856, 604, 618, 371, 631], [854]], 3=[[547, 292, 293, 691, 692, 693, 53, 54, 315, 451, 487]], 20=[[515, 18, 798, 36, 974, 220]], 6=[[541, 159, 311, 313, 962, 331, 332, 462, 209]], 8=[[14, 670, 678, 720]], 11=[[135, 733]], 12=[[392, 795, 155, 287, 67, 101, 613, 503]]} | 210.37 | 129.44
O47 | {643=[2], 260=[17], 900=[17], 901=[17], 645=[11], 646=[11], 520=[15], 8=[17], 781=[1], 13=[8], 397=[3], 14=[8], 527=[1], 783=[4], 656=[4], 145=[20], 659=[6], 788=[4], 23=[17], 151=[3], 663=[11], 280=[15], 665=[4], 413=[4], 797=[20], 159=[6], 799=[15], 544=[15], 545=[15], 803=[17], 550=[8], 678=[8], 806=[17], 40=[1], 682=[3], 557=[6], 429=[2], 49=[1], 177=[17], 561=[17], 818=[2], 565=[11], 566=[11], 822=[6], 313=[6], 58=[6], 190=[15], 831=[20], 960=[20], 578=[2], 708=[15], 452=[3], 453=[11], 454=[20], 198=[1], 199=[1], 72=[11], 968=[11], 456=[1], 841=[1], 329=[2], 843=[1], 459=[2], 460=[11], 845=[15], 846=[15], 467=[4], 469=[4], 215=[15], 344=[20], 984=[17], 728=[15], 217=[3], 602=[20], 859=[15], 220=[20], 96=[3], 610=[15], 612=[11], 486=[8], 616=[2], 365=[4], 621=[4], 493=[17], 367=[4], 368=[2], 241=[8], 756=[4], 757=[4], 631=[2], 122=[2], 509=[17]} | {17=[[260, 900, 901, 8, 23, 803, 806, 177, 561, 984, 493, 509]], 1=[[781, 527, 40, 49, 198, 199, 456, 841, 843]], 2=[[643, 429, 818, 578, 329, 459, 616, 368, 631, 122]], 3=[[397, 151, 682, 452, 217, 96]], 4=[[783, 656, 788, 665, 413, 467, 469, 365, 621, 367, 756, 757]], 20=[[145, 797, 831, 960, 454, 344, 602, 220]], 6=[[659, 159, 557, 822, 313, 58]], 8=[[13, 14, 550, 678, 486, 241]], 11=[[645, 646, 663, 565, 566, 453, 72, 968, 460, 612]], 15=[[520, 280, 799, 544, 545, 190, 708, 845, 846, 215, 728, 859, 610]]} | 202.37 | 129.44
O49 | {257=[3], 130=[8], 391=[12], 775=[2], 137=[11], 393=[8], 396=[9], 13=[8], 398=[3], 143=[12], 916=[3], 661=[11], 405=[18], 151=[3], 791=[16], 281=[2], 26=[13], 795=[12], 27=[2], 540=[16], 290=[3], 546=[3], 291=[3], 547=[3], 931=[2], 680=[8], 554=[18], 43=[3], 430=[2], 814=[18], 943=[9], 304=[18], 689=[2], 945=[11], 820=[9], 439=[13], 185=[9], 569=[13], 954=[18], 571=[16], 955=[12], 443=[18], 315=[3], 700=[16], 320=[13], 321=[13], 962=[6], 322=[13], 66=[12], 578=[2], 451=[3], 452=[3], 68=[12], 837=[18], 453=[11], 711=[13], 327=[2], 968=[11], 713=[8], 854=[2], 599=[18], 600=[18], 216=[16], 856=[2], 857=[2], 860=[11], 988=[16], 93=[9], 861=[11], 95=[9], 997=[18], 230=[6], 615=[12], 616=[2], 1000=[18], 617=[2], 880=[9], 370=[2], 498=[2], 371=[2], 372=[16], 628=[13], 500=[18], 373=[16], 894=[6], 895=[6]} | {16=[[791, 540, 571, 700, 216, 988, 372, 373]], 2=[[775, 281, 27, 931, 430, 689, 327, 854, 856, 857, 616, 617, 370, 498, 371], [578]], 18=[[405, 554, 814, 304, 954, 443, 837, 599, 600, 997, 1000, 500]], 3=[[257, 398, 916, 151, 290, 546, 291, 547, 43, 315, 451, 452]], 6=[[962, 230, 894, 895]], 8=[[130, 393, 13, 680, 713]], 9=[[396, 943, 820, 185, 93, 95, 880]], 11=[[137, 661, 945, 453, 968, 860, 861]], 12=[[391, 143, 795, 955, 66, 68, 615]], 13=[[26, 439, 569, 320, 321, 322, 711, 628]]} | 203.64 | 128.69
