orderIndex | solutionRoute | solutionPackage | solutionMoneyCost | solutionTimeCost
O40 | {128=[3], 898=[3], 643=[1], 900=[14], 4=[1], 646=[5], 134=[8], 264=[1], 648=[19], 776=[2], 779=[2], 140=[8], 398=[3], 658=[1], 18=[14], 787=[20], 405=[8], 793=[14], 538=[18], 923=[2], 29=[8], 542=[19], 287=[1], 801=[3], 161=[16], 419=[5], 676=[3], 165=[1], 936=[16], 171=[18], 812=[14], 685=[2], 813=[14], 174=[8], 942=[5], 431=[5], 432=[5], 304=[3], 561=[20], 562=[20], 563=[18], 950=[8], 822=[16], 183=[20], 823=[2], 442=[18], 701=[8], 958=[1], 704=[1], 65=[2], 963=[14], 835=[2], 323=[3], 967=[19], 199=[19], 73=[16], 462=[1], 337=[3], 85=[2], 341=[5], 214=[16], 86=[2], 342=[19], 598=[2], 986=[19], 859=[20], 989=[3], 863=[20], 608=[5], 225=[18], 995=[16], 740=[14], 741=[14], 998=[1], 358=[18], 103=[19], 1000=[3], 623=[14], 240=[18], 368=[16], 883=[18], 500=[2], 501=[8], 759=[18], 889=[2], 506=[2], 122=[18], 638=[19]} | {16=[[161, 936, 822, 73, 214, 995, 368]], 1=[[643, 4, 264, 658, 287, 165, 958, 704, 462, 998]], 2=[[776, 779, 923, 685, 823, 65, 835, 85, 86, 598, 500, 889, 506]], 18=[[538, 171, 563, 442, 225, 358, 240, 883, 759, 122]], 3=[[128, 898, 398, 801, 676, 304, 323, 337, 989, 1000]], 19=[[648, 542, 967, 199, 342, 986, 103, 638]], 20=[[787, 561, 562, 183, 859, 863]], 5=[[646, 419, 942, 431, 432, 341, 608]], 8=[[134, 140, 405, 29, 174, 950, 701, 501]], 14=[[900, 18, 793, 812, 813, 963, 740, 741, 623]]} | 207.70000000000002 | 128.85
O42 | {641=[3], 644=[6], 261=[20], 6=[6], 519=[13], 653=[7], 270=[2], 526=[6], 528=[12], 656=[5], 144=[4], 530=[12], 19=[13], 789=[12], 918=[20], 790=[4], 410=[6], 923=[2], 28=[12], 540=[2], 674=[6], 547=[9], 675=[3], 422=[7], 166=[7], 167=[7], 808=[13], 939=[7], 683=[12], 44=[13], 559=[2], 176=[6], 306=[4], 308=[20], 309=[20], 53=[12], 438=[20], 568=[3], 824=[2], 56=[20], 57=[9], 572=[7], 573=[7], 831=[9], 576=[4], 66=[2], 194=[13], 710=[12], 198=[20], 582=[4], 711=[2], 71=[12], 712=[2], 587=[9], 972=[2], 77=[4], 721=[12], 851=[7], 212=[5], 980=[9], 468=[7], 469=[7], 598=[2], 344=[12], 857=[9], 730=[4], 731=[4], 987=[12], 990=[12], 607=[5], 608=[5], 992=[3], 865=[3], 866=[20], 354=[6], 484=[12], 615=[9], 490=[3], 874=[2], 875=[12], 620=[4], 749=[12], 238=[6], 241=[3], 754=[12], 884=[9], 372=[12], 630=[4], 632=[4], 508=[7], 383=[3]} | {2=[[270, 923, 540, 559, 824, 66, 711, 712, 972, 598, 874]], 3=[[641, 675, 568, 992, 865, 490, 241, 383]], 20=[[261, 918, 308, 309, 438, 56, 198, 866]], 4=[[144, 790, 306, 576, 582, 77, 730, 731, 620, 630, 632]], 5=[[656, 212, 607, 608]], 6=[[644, 6, 526, 410, 674, 176, 354, 238]], 7=[[653, 422, 166, 167, 939, 572, 573, 851, 468, 469, 508]], 9=[[547, 57, 831, 587, 980, 857, 615, 884]], 12=[[528, 530, 789, 28, 683, 53, 710, 71, 721, 344, 987, 990, 484, 875, 749, 754, 372]], 13=[[519, 19, 808, 44, 194]]} | 228.72 | 129.3
O41 | {257=[15], 129=[19], 770=[4], 515=[5], 134=[8], 520=[13], 138=[17], 522=[17], 268=[8], 14=[16], 270=[2], 654=[17], 657=[5], 145=[17], 20=[4], 917=[9], 791=[4], 920=[17], 665=[17], 283=[8], 923=[2], 540=[2], 542=[19], 415=[17], 930=[17], 163=[16], 806=[15], 936=[16], 680=[19], 302=[16], 558=[2], 559=[2], 432=[5], 433=[2], 435=[15], 948=[9], 820=[5], 822=[16], 184=[16], 58=[9], 443=[2], 316=[8], 701=[8], 447=[13], 960=[19], 320=[15], 193=[13], 705=[19], 66=[2], 706=[19], 708=[17], 581=[4], 69=[5], 965=[13], 584=[17], 714=[17], 844=[9], 975=[8], 465=[19], 722=[15], 980=[9], 213=[5], 598=[2], 216=[4], 473=[4], 601=[9], 474=[17], 93=[8], 733=[8], 222=[4], 993=[8], 609=[15], 98=[9], 610=[15], 102=[4], 234=[13], 874=[2], 885=[19], 245=[17], 375=[8], 120=[17], 888=[2], 889=[2], 506=[2], 634=[19], 124=[4], 764=[9], 255=[5]} | {16=[[14, 163, 936, 302, 822, 184]], 17=[[138, 522, 654, 145, 920, 665, 415, 930, 708, 584, 714, 474, 245, 120]], 2=[[270, 923, 540, 558, 559, 66, 598, 874, 888, 889, 506], [433, 443], []], 19=[[129, 542, 680, 960, 705, 706, 465, 885, 634]], 4=[[770, 20, 791, 581, 216, 473, 222, 102, 124]], 5=[[515, 657, 432, 820, 69, 213, 255]], 8=[[134, 268, 283, 316, 701, 975, 93, 733, 993, 375]], 9=[[917, 948, 58, 844, 980, 601, 98, 764]], 13=[[520, 447, 193, 965, 234]], 15=[[257, 806, 435, 320, 722, 609, 610]]} | 216.18 | 128.85
O44 | {1=[15], 769=[19], 515=[5], 772=[10], 389=[16], 133=[8], 7=[8], 904=[19], 649=[6], 652=[8], 141=[13], 16=[16], 144=[4], 657=[5], 19=[13], 787=[20], 147=[20], 532=[16], 22=[10], 279=[13], 791=[4], 283=[8], 926=[5], 159=[13], 673=[20], 674=[6], 933=[16], 549=[15], 678=[20], 426=[10], 300=[4], 45=[10], 175=[6], 943=[10], 431=[5], 687=[19], 176=[6], 177=[6], 819=[5], 438=[20], 183=[20], 55=[20], 184=[16], 825=[20], 957=[4], 701=[8], 960=[19], 325=[13], 198=[20], 201=[10], 842=[10], 460=[8], 76=[19], 849=[5], 593=[6], 211=[5], 340=[5], 341=[5], 725=[13], 471=[19], 215=[20], 217=[16], 347=[10], 861=[8], 221=[4], 862=[20], 607=[5], 609=[15], 610=[15], 866=[20], 483=[5], 100=[6], 229=[20], 230=[6], 486=[6], 876=[10], 621=[4], 109=[8], 751=[16], 117=[10], 373=[10], 374=[10], 503=[8], 247=[20], 634=[19], 635=[10], 509=[4], 767=[10], 511=[8], 127=[10]} | {16=[[389, 16, 532, 933, 184, 217, 751]], 19=[[769, 904, 687, 960, 76, 471, 634]], 4=[[144, 791, 300, 957, 221, 621, 509]], 20=[[787, 147, 673, 678, 438, 183, 55, 825, 198, 215, 862, 866, 229, 247]], 5=[[515, 657, 926, 431, 819, 849, 211, 340, 341, 607, 483]], 6=[[649, 674, 175, 176, 177, 593, 100, 230, 486]], 8=[[133, 7, 652, 283, 701, 460, 861, 109, 503, 511]], 10=[[772, 22, 426, 45, 943, 201, 842, 347, 876, 117, 373, 374, 635, 767, 127]], 13=[[141, 19, 279, 159, 325, 725]], 15=[[1, 549, 609, 610]]} | 211.74999999999997 | 129.3
O43 | {896=[20], 897=[20], 514=[20], 3=[1], 4=[1], 390=[16], 903=[10], 266=[18], 11=[13], 16=[16], 400=[13], 146=[13], 402=[11], 532=[16], 916=[10], 407=[20], 152=[18], 153=[18], 538=[18], 670=[1], 543=[19], 671=[18], 288=[19], 161=[16], 293=[16], 677=[20], 933=[16], 551=[13], 680=[19], 169=[18], 41=[10], 938=[18], 42=[16], 43=[1], 429=[1], 688=[19], 816=[1], 562=[20], 691=[10], 51=[2], 563=[18], 311=[15], 439=[20], 952=[1], 184=[16], 312=[1], 697=[11], 314=[19], 60=[11], 958=[1], 448=[1], 704=[1], 705=[19], 198=[20], 967=[19], 711=[2], 843=[10], 333=[16], 78=[10], 334=[16], 974=[15], 591=[11], 207=[10], 977=[16], 342=[19], 215=[20], 88=[11], 984=[10], 89=[11], 602=[13], 92=[10], 862=[20], 350=[16], 863=[20], 481=[10], 225=[18], 226=[18], 611=[13], 739=[16], 103=[19], 107=[2], 876=[10], 368=[16], 881=[19], 370=[15], 626=[11], 627=[11], 628=[18], 890=[20], 379=[19], 125=[18], 767=[10]} | {16=[[390, 16, 532, 161, 293, 933, 42, 184, 333, 334, 977, 350, 739, 368]], 1=[[3, 4, 670, 43, 429, 816, 952, 312, 958, 448, 704]], 18=[[266, 152, 153, 538, 671, 169, 938, 563, 225, 226, 628, 125]], 2=[[51, 711, 107]], 19=[[543, 288, 680, 688, 314, 705, 967, 342, 103, 881, 379]], 20=[[896, 897, 514, 407, 677, 562, 439, 198, 215, 862, 863, 890]], 10=[[903, 916, 41, 691, 843, 78, 207, 984, 92, 481, 876, 767]], 11=[[402, 697, 60, 591, 88, 89, 626, 627]], 13=[[11, 400, 146, 551, 602, 611]], 15=[[311, 974, 370]]} | 200.23 | 127.99
O46 | {769=[19], 131=[19], 132=[19], 645=[12], 389=[16], 647=[7], 775=[10], 267=[16], 782=[18], 273=[7], 274=[10], 531=[16], 921=[7], 793=[14], 537=[18], 26=[12], 154=[4], 28=[12], 413=[14], 542=[19], 800=[12], 545=[9], 420=[5], 293=[16], 934=[7], 39=[7], 168=[7], 169=[18], 681=[19], 682=[10], 170=[18], 430=[5], 691=[10], 819=[5], 307=[16], 948=[9], 53=[12], 695=[9], 184=[16], 313=[19], 57=[9], 58=[9], 442=[18], 574=[12], 702=[10], 833=[9], 449=[10], 195=[19], 836=[4], 581=[4], 710=[12], 327=[4], 72=[12], 970=[12], 202=[9], 586=[9], 587=[9], 76=[19], 463=[12], 464=[19], 336=[9], 721=[12], 850=[10], 338=[7], 596=[12], 341=[5], 727=[9], 728=[9], 218=[16], 730=[4], 987=[12], 92=[10], 991=[7], 737=[7], 225=[18], 738=[7], 356=[4], 871=[19], 620=[4], 876=[10], 748=[19], 366=[10], 368=[16], 883=[18], 374=[10], 632=[4], 505=[18], 379=[19], 892=[9], 508=[7], 893=[12]} | {16=[[389, 267, 531, 293, 307, 184, 218, 368]], 18=[[782, 537, 169, 170, 442, 225, 883, 505]], 19=[[769, 131, 132, 542, 681, 313, 195, 76, 464, 871, 748, 379]], 4=[[154, 836, 581, 327, 730, 356, 620, 632]], 5=[[420, 430, 819, 341]], 7=[[647, 273, 921, 934, 39, 168, 338, 991, 737, 738, 508]], 9=[[545, 948, 695, 57, 58, 833, 202, 586, 587, 336, 727, 728, 892]], 10=[[775, 274, 682, 691, 702, 449, 850, 92, 876, 366, 374]], 12=[[645, 26, 28, 800, 53, 574, 710, 72, 970, 463, 721, 596, 987, 893]], 14=[[793, 413]]} | 221.22 | 129.3
O45 | {257=[15], 1=[15], 2=[15], 515=[5], 516=[3], 133=[8], 263=[3], 519=[13], 269=[8], 529=[12], 18=[14], 531=[16], 532=[16], 148=[5], 277=[3], 789=[12], 280=[19], 153=[18], 282=[8], 412=[14], 800=[12], 32=[3], 161=[16], 801=[3], 34=[16], 162=[16], 419=[5], 548=[15], 932=[3], 806=[15], 807=[15], 552=[13], 936=[16], 171=[18], 44=[13], 941=[14], 942=[5], 430=[5], 563=[18], 947=[16], 53=[12], 568=[3], 185=[8], 574=[12], 830=[3], 578=[14], 450=[14], 834=[5], 67=[12], 325=[13], 453=[13], 710=[12], 839=[14], 455=[19], 456=[19], 72=[12], 970=[12], 331=[3], 463=[12], 848=[5], 977=[16], 211=[5], 595=[12], 340=[5], 212=[5], 342=[19], 344=[12], 602=[13], 96=[5], 226=[18], 360=[14], 617=[15], 106=[13], 108=[8], 877=[18], 494=[12], 239=[12], 880=[14], 760=[8], 763=[19], 637=[14], 381=[5], 125=[18], 382=[5], 638=[19], 639=[12]} | {16=[[531, 532, 161, 34, 162, 936, 947], [977]], 18=[[153, 171, 563, 226, 877, 125]], 3=[[516, 263, 277, 32, 801, 932, 568, 830, 331]], 19=[[280, 455, 456, 342, 763, 638]], 5=[[515, 148, 419, 942, 430, 834, 848, 211, 340, 212, 96, 381, 382]], 8=[[133, 269, 282, 185, 108, 760]], 12=[[529, 789, 800, 53, 574, 67, 710, 72, 970, 463, 595, 344, 494, 239, 639]], 13=[[519, 552, 44, 325, 453, 602, 106]], 14=[[18, 412, 941, 578, 450, 839, 360, 880, 637]], 15=[[257, 1, 2, 548, 806, 807, 617]]} | 214.68 | 128.85
O48 | {640=[18], 772=[10], 388=[17], 903=[10], 519=[13], 137=[10], 521=[17], 138=[17], 523=[17], 139=[10], 781=[12], 16=[16], 401=[13], 786=[20], 403=[11], 532=[16], 149=[17], 917=[9], 406=[20], 919=[18], 792=[14], 152=[18], 793=[14], 413=[14], 30=[14], 415=[17], 417=[14], 677=[20], 551=[13], 552=[13], 808=[13], 425=[10], 41=[10], 42=[16], 810=[11], 555=[11], 815=[20], 560=[20], 307=[16], 947=[16], 180=[17], 564=[10], 309=[20], 55=[20], 441=[18], 58=[9], 571=[9], 700=[17], 702=[10], 707=[17], 708=[17], 198=[20], 71=[12], 202=[9], 458=[17], 845=[9], 846=[12], 719=[11], 208=[10], 976=[11], 721=[12], 724=[14], 980=[9], 983=[12], 88=[11], 346=[9], 475=[10], 91=[13], 348=[11], 990=[12], 736=[9], 225=[18], 353=[20], 995=[16], 229=[20], 742=[12], 358=[18], 615=[9], 743=[12], 360=[14], 616=[9], 106=[13], 234=[13], 747=[13], 235=[18], 495=[12], 751=[16], 624=[11], 880=[14], 625=[11], 890=[20], 764=[9], 766=[17]} | {16=[[16, 532, 42, 307, 947, 995, 751]], 17=[[388, 521, 138, 523, 149, 415, 180, 700, 707, 708, 458, 766]], 18=[[640, 919, 152, 441, 225, 358, 235]], 20=[[786, 406, 677, 815, 560, 309, 55, 198, 353, 229, 890]], 9=[[917, 58, 571, 202, 845, 980, 346, 736, 615, 616, 764]], 10=[[772, 903, 137, 139, 425, 41, 564, 702, 208, 475]], 11=[[403, 810, 555, 719, 976, 88, 348, 624, 625]], 12=[[781, 71, 846, 721, 983, 990, 742, 743, 495]], 13=[[519, 401, 551, 552, 808, 91, 106, 234, 747]], 14=[[792, 793, 413, 30, 417, 724, 360, 880]]} | 198.32999999999998 | 127.99
O47 | {384=[12], 3=[1], 647=[7], 9=[8], 265=[1], 268=[8], 781=[12], 270=[2], 399=[13], 16=[16], 401=[13], 658=[1], 276=[12], 793=[14], 922=[2], 282=[8], 669=[1], 162=[16], 34=[16], 421=[4], 166=[7], 551=[13], 936=[16], 939=[7], 683=[12], 172=[8], 300=[4], 812=[14], 301=[16], 174=[8], 818=[7], 434=[2], 691=[10], 307=[16], 179=[12], 53=[12], 950=[8], 184=[16], 573=[7], 957=[4], 574=[12], 64=[16], 66=[2], 67=[12], 580=[4], 581=[4], 839=[14], 715=[7], 972=[2], 77=[4], 206=[12], 975=[8], 209=[7], 721=[12], 82=[16], 597=[12], 86=[2], 726=[13], 983=[12], 217=[16], 985=[2], 90=[7], 730=[4], 987=[12], 476=[1], 221=[4], 733=[8], 479=[7], 738=[7], 995=[16], 356=[4], 612=[13], 101=[4], 485=[12], 102=[4], 744=[10], 489=[12], 493=[12], 237=[1], 110=[10], 495=[12], 111=[1], 112=[1], 754=[12], 117=[10], 373=[10], 118=[7], 630=[4], 375=[8], 503=[8], 631=[4], 633=[12], 506=[2], 762=[14], 636=[8]} | {16=[[16, 162, 34, 936, 301, 307, 184, 64, 82, 217, 995]], 1=[[3, 265, 658, 669, 476, 237, 111, 112]], 2=[[270, 922, 66, 972, 86, 985, 506], [434]], 4=[[421, 300, 957, 581, 730, 221, 356, 101, 102, 630, 631], [580, 77], []], 7=[[647, 166, 939, 818, 573, 715, 209, 90, 479, 738, 118]], 8=[[9, 268, 282, 172, 174, 950, 975, 733, 375, 503, 636]], 10=[[691, 744, 110, 117, 373]], 12=[[384, 781, 276, 683, 179, 53, 574, 67, 206, 721, 597, 983, 987, 485, 489, 493, 495, 754, 633]], 13=[[399, 401, 551, 726, 612]], 14=[[793, 812, 839, 762]]} | 239.22000000000003 | 129.3
O49 | {512=[8], 899=[3], 132=[19], 7=[8], 139=[10], 11=[13], 140=[8], 13=[12], 141=[13], 656=[5], 272=[13], 916=[10], 276=[12], 663=[9], 664=[7], 282=[8], 158=[13], 799=[12], 928=[9], 544=[19], 546=[9], 547=[9], 419=[5], 167=[7], 680=[19], 426=[10], 941=[14], 942=[5], 47=[3], 431=[5], 432=[5], 948=[9], 53=[12], 568=[3], 57=[9], 954=[5], 186=[8], 315=[8], 193=[13], 323=[3], 68=[5], 330=[9], 970=[12], 588=[5], 332=[3], 717=[5], 845=[9], 207=[10], 208=[10], 464=[19], 336=[9], 338=[7], 210=[7], 723=[14], 211=[5], 851=[7], 852=[7], 470=[14], 728=[9], 984=[10], 346=[9], 602=[13], 732=[8], 861=[8], 990=[12], 736=[9], 993=[8], 484=[12], 613=[3], 485=[12], 741=[14], 999=[12], 871=[19], 488=[12], 108=[8], 492=[7], 110=[10], 495=[12], 116=[7], 756=[19], 501=[8], 757=[19], 117=[10], 375=[8], 760=[8], 507=[9], 379=[19], 380=[13], 894=[12], 382=[5], 511=[8]} | {3=[[899, 47, 568, 323, 332, 613]], 19=[[132, 544, 680, 464, 871, 756, 757, 379]], 5=[[656, 419, 942, 431, 432, 954, 68, 588, 717, 211, 382]], 7=[[664, 167, 338, 210, 851, 852, 492, 116]], 8=[[512, 7, 140, 282, 186, 315, 732, 861, 993, 108, 501, 375, 760, 511]], 9=[[663, 928, 546, 547, 948, 57, 330, 845, 336, 728, 346, 736, 507]], 10=[[139, 916, 426, 207, 208, 984, 110, 117]], 12=[[13, 276, 799, 53, 970, 990, 484, 485, 999, 488, 495, 894]], 13=[[11, 141, 272, 158, 193, 602, 380]], 14=[[941, 723, 470, 741]]} | 221.21 | 129.3
